subj_id,Completion,sentID,NatNess,Diff,RT,hasComment?,AdditCom,translation
R_BKctGx9a1Hi7w4h,de thee,1,4,6,0.831,0,,
R_u2ffULg0uVmoetj,de koffie,1,5,5,1.748,0,,
R_2vf9l3GOwanVBOH,de thee,1,5,5,0.579,0,,
R_OqjAwL4brYESqul,de thee,1,5,6,2.621,0,,
R_1LG8FwYsk4Xgq61,de koffie,1,5,6,2.426,0,,
R_2wQZuV97sKRkDfp,de koffie,1,5,6,1.304,0,,
R_2dsf9d9zlzEbaRw,de thee,1,5,6,2.667,0,,
R_3j0ZzVXSe6NB0v0,de koffie,1,5,6,7.497,0,,
R_2SqwKT4bUhZVaYX,de koffie,1,5,6,5.273,0,,
R_6yuZ6GaDGqciNE1,de thee,1,4,5,4.824,0,,
R_22DGKB9Dz59SJIt,de koffie,1,5,6,3.016,0,,
R_5iDE07CUBSNZdqF,de koffie,1,5,6,4.113,0,,
R_2w61flKU0TAtmrX,de thee,1,5,6,13.086,0,,
R_2Y4gtCNHITcznSw,de koffie,1,5,6,2.074,0,,
R_2qDHMLvHLCvMWMS,de thee,1,4,6,23.905,1,ik lust geen koffie,
R_bg7cQUV93CWU245,de koffie,1,5,6,18.955,0,,
R_2OTJk9jZohSfhSm,de thee,1,4,6,1.87,1,andere optie was: de koffie ,
R_pGZjTA8wFerMwcV,de thee,1,5,6,4.214,1,Thee > koffie.,
R_ypTZBjEyvsMpFG9,de koffie,1,5,6,2.176,0,,
R_2YkUceTXXRwe7af,de koffie,1,4,5,1.921,0,,
R_3D2u0Wq74kM9j2C,de koffie,1,5,6,2.139,0,,
R_2Pv6m5XVNiv6pPQ,de koster,1,5,6,23.238,0,,
R_T1l2TIrq1do7Orn,GI,1,3,2,6.828,0,,
R_9KphKBeCPmqzBCl,de thee,1,4,5,2.862,0,,
R_3qKjZplc0t8Y2IU,de koffie,1,4,4,1.505,1,Ik ben geen koffie enthousiast ik wilde eerst thee invullen maar koffie klonk beter.,
R_4GA7uQFTqbGKnlf,de koffie,1,5,6,0.988,0,,
R_1hEVfCsYXJCzsVp,de koffie,1,3,4,1.054,0,,
R_cHiCbzLrQrYeizP,De koffie,1,4,6,4.284,0,,
R_3fQa4YiudlrrSLd,de thee,1,5,6,1.511,0,,
R_z0gtYvawsJg834J,de thee,1,5,6,4.489,0,,
R_2SvKoXHDxtivA4o,de thee,1,5,5,8.446,0,,
R_CeG821dsnmsmiZP,de thee,1,5,6,2.345,0,,
R_3MG93Py9LV1lYqI,de koffie,1,5,6,12.174,0,,
R_UrtVng9RxUYqodr,de koffie,1,5,6,3.254,0,,
R_yjxZCpumE2JuLwR,de thee,1,5,6,1.99,0,,
R_eOEX0Ye1lmhGlyl,de thee,1,5,6,2.279,0,,
R_cCLhtJmTS5XidYl,de koffie,1,5,6,9.663,0,,
R_vZ75WKEQFz64rIt,de koffie,1,5,6,2.509,0,,
R_1Nzi2lWnM0CO3kn,de koffie,1,5,5,4.441,0,,
R_2tu71tqKKoKbfJ0,de koffie,1,4,5,4.771,0,,
R_2PdQi8meHWRd7Fb,de thee,1,5,6,3.933,0,,
R_3PaHNs19NCzMVbu,de thee,1,5,6,1.699,0,,
R_CjK7Ok90OSXQ3XH,de koffie,1,5,6,76.475,0,,
