subj_id,AdditCom,measure,sentID
R_BKctGx9a1Hi7w4h,,AdditCom,1
R_u2ffULg0uVmoetj,,AdditCom,1
R_2vf9l3GOwanVBOH,,AdditCom,1
R_OqjAwL4brYESqul,,AdditCom,1
R_1LG8FwYsk4Xgq61,,AdditCom,1
R_2wQZuV97sKRkDfp,,AdditCom,1
R_2dsf9d9zlzEbaRw,,AdditCom,1
R_3j0ZzVXSe6NB0v0,,AdditCom,1
R_2SqwKT4bUhZVaYX,,AdditCom,1
R_6yuZ6GaDGqciNE1,,AdditCom,1
R_22DGKB9Dz59SJIt,,AdditCom,1
R_5iDE07CUBSNZdqF,,AdditCom,1
R_2w61flKU0TAtmrX,,AdditCom,1
R_2Y4gtCNHITcznSw,,AdditCom,1
R_2qDHMLvHLCvMWMS,ik lust geen koffie,AdditCom,1
R_bg7cQUV93CWU245,,AdditCom,1
R_2OTJk9jZohSfhSm,andere optie was: de koffie ,AdditCom,1
R_pGZjTA8wFerMwcV,Thee > koffie.,AdditCom,1
R_ypTZBjEyvsMpFG9,,AdditCom,1
R_2YkUceTXXRwe7af,,AdditCom,1
R_3D2u0Wq74kM9j2C,,AdditCom,1
R_2Pv6m5XVNiv6pPQ,,AdditCom,1
R_T1l2TIrq1do7Orn,,AdditCom,1
R_9KphKBeCPmqzBCl,,AdditCom,1
R_3qKjZplc0t8Y2IU,Ik ben geen koffie enthousiast ik wilde eerst thee invullen maar koffie klonk beter.,AdditCom,1
R_4GA7uQFTqbGKnlf,,AdditCom,1
R_1hEVfCsYXJCzsVp,,AdditCom,1
R_cHiCbzLrQrYeizP,,AdditCom,1
R_3fQa4YiudlrrSLd,,AdditCom,1
R_z0gtYvawsJg834J,,AdditCom,1
R_2SvKoXHDxtivA4o,,AdditCom,1
R_CeG821dsnmsmiZP,,AdditCom,1
R_3MG93Py9LV1lYqI,,AdditCom,1
R_UrtVng9RxUYqodr,,AdditCom,1
R_yjxZCpumE2JuLwR,,AdditCom,1
R_eOEX0Ye1lmhGlyl,,AdditCom,1
R_cCLhtJmTS5XidYl,,AdditCom,1
R_vZ75WKEQFz64rIt,,AdditCom,1
R_1Nzi2lWnM0CO3kn,,AdditCom,1
R_2tu71tqKKoKbfJ0,,AdditCom,1
R_2PdQi8meHWRd7Fb,,AdditCom,1
R_3PaHNs19NCzMVbu,,AdditCom,1
R_CjK7Ok90OSXQ3XH,,AdditCom,1
R_1lgEwIKXFHGT01V,,AdditCom,1
R_2qq1JLwmdrdJM9d,,AdditCom,1
R_ZrTEV9TpypUZEC5,,AdditCom,1
R_3Gq55dSXHC6ANc8,,AdditCom,1
R_3D8b4ozl4q217Ie,,AdditCom,1
R_qV03fIB34drHELn,,AdditCom,1
R_1mRh44rpwMf0PbH,,AdditCom,1
R_3gNkgaxQ9C21dQW,,AdditCom,1
R_21umvRGJCCZXoit,,AdditCom,1
