subj_id,Completion,measure,sentID
R_BKctGx9a1Hi7w4h,de thee,Comp,1
R_u2ffULg0uVmoetj,de koffie,Comp,1
R_2vf9l3GOwanVBOH,de thee,Comp,1
R_OqjAwL4brYESqul,de thee,Comp,1
R_1LG8FwYsk4Xgq61,de koffie,Comp,1
R_2wQZuV97sKRkDfp,de koffie,Comp,1
R_2dsf9d9zlzEbaRw,de thee,Comp,1
R_3j0ZzVXSe6NB0v0,de koffie,Comp,1
R_2SqwKT4bUhZVaYX,de koffie,Comp,1
R_6yuZ6GaDGqciNE1,de thee,Comp,1
R_22DGKB9Dz59SJIt,de koffie,Comp,1
R_5iDE07CUBSNZdqF,de koffie,Comp,1
R_2w61flKU0TAtmrX,de thee,Comp,1
R_2Y4gtCNHITcznSw,de koffie,Comp,1
R_2qDHMLvHLCvMWMS,de thee,Comp,1
R_bg7cQUV93CWU245,de koffie,Comp,1
R_2OTJk9jZohSfhSm,de thee,Comp,1
R_pGZjTA8wFerMwcV,de thee,Comp,1
R_ypTZBjEyvsMpFG9,de koffie,Comp,1
R_2YkUceTXXRwe7af,de koffie,Comp,1
R_3D2u0Wq74kM9j2C,de koffie,Comp,1
R_2Pv6m5XVNiv6pPQ,de koster,Comp,1
R_T1l2TIrq1do7Orn,GI,Comp,1
R_9KphKBeCPmqzBCl,de thee,Comp,1
R_3qKjZplc0t8Y2IU,de koffie,Comp,1
R_4GA7uQFTqbGKnlf,de koffie,Comp,1
R_1hEVfCsYXJCzsVp,de koffie,Comp,1
R_cHiCbzLrQrYeizP,De koffie,Comp,1
R_3fQa4YiudlrrSLd,de thee,Comp,1
R_z0gtYvawsJg834J,de thee,Comp,1
R_2SvKoXHDxtivA4o,de thee,Comp,1
R_CeG821dsnmsmiZP,de thee,Comp,1
R_3MG93Py9LV1lYqI,de koffie,Comp,1
R_UrtVng9RxUYqodr,de koffie,Comp,1
R_yjxZCpumE2JuLwR,de thee,Comp,1
R_eOEX0Ye1lmhGlyl,de thee,Comp,1
R_cCLhtJmTS5XidYl,de koffie,Comp,1
R_vZ75WKEQFz64rIt,de koffie,Comp,1
R_1Nzi2lWnM0CO3kn,de koffie,Comp,1
R_2tu71tqKKoKbfJ0,de koffie,Comp,1
R_2PdQi8meHWRd7Fb,de thee,Comp,1
R_3PaHNs19NCzMVbu,de thee,Comp,1
R_CjK7Ok90OSXQ3XH,de koffie,Comp,1
R_1lgEwIKXFHGT01V,de thee,Comp,1
R_2qq1JLwmdrdJM9d,de koffie,Comp,1
R_ZrTEV9TpypUZEC5,de koffie,Comp,1
R_3Gq55dSXHC6ANc8,de koffie,Comp,1
R_3D8b4ozl4q217Ie,de thee,Comp,1
R_qV03fIB34drHELn,de koffie,Comp,1
R_1mRh44rpwMf0PbH,de koffie,Comp,1
R_3gNkgaxQ9C21dQW,de thee,Comp,1
R_21umvRGJCCZXoit,de thee,Comp,1
R_BKctGx9a1Hi7w4h,de boeken,Comp,2
R_u2ffULg0uVmoetj,een boek,Comp,2
R_2vf9l3GOwanVBOH,een boek,Comp,2
R_OqjAwL4brYESqul,een boek,Comp,2
R_1LG8FwYsk4Xgq61,dat artikel,Comp,2
R_2wQZuV97sKRkDfp,de brochure,Comp,2
R_2dsf9d9zlzEbaRw,het artikel,Comp,2
R_3j0ZzVXSe6NB0v0,een boek,Comp,2
R_2SqwKT4bUhZVaYX,Een boek,Comp,2
R_6yuZ6GaDGqciNE1,het boek,Comp,2
R_22DGKB9Dz59SJIt,een boek,Comp,2
R_5iDE07CUBSNZdqF,de avonturen,Comp,2
R_2w61flKU0TAtmrX,een boek,Comp,2
R_2Y4gtCNHITcznSw,Websites,Comp,2
R_2qDHMLvHLCvMWMS,een boek,Comp,2
R_bg7cQUV93CWU245,een boek,Comp,2
R_2OTJk9jZohSfhSm,een boek ,Comp,2
R_pGZjTA8wFerMwcV,een boek,Comp,2
R_ypTZBjEyvsMpFG9,de brochure,Comp,2
R_2YkUceTXXRwe7af,het artikel,Comp,2
R_3D2u0Wq74kM9j2C,het lezen,Comp,2
R_2Pv6m5XVNiv6pPQ,het boek,Comp,2
R_T1l2TIrq1do7Orn,het boek,Comp,2
R_9KphKBeCPmqzBCl,een interview,Comp,2
R_3qKjZplc0t8Y2IU,het handboek,Comp,2
R_4GA7uQFTqbGKnlf,het boek,Comp,2
R_1hEVfCsYXJCzsVp,een boek,Comp,2
R_cHiCbzLrQrYeizP,GI,Comp,2
R_3fQa4YiudlrrSLd,de informatie,Comp,2
R_z0gtYvawsJg834J,een boek,Comp,2
R_2SvKoXHDxtivA4o,een boek,Comp,2
