subj_id,Diff,measure,sentID
R_BKctGx9a1Hi7w4h,6,Diff,1
R_u2ffULg0uVmoetj,5,Diff,1
R_2vf9l3GOwanVBOH,5,Diff,1
R_OqjAwL4brYESqul,6,Diff,1
R_1LG8FwYsk4Xgq61,6,Diff,1
R_2wQZuV97sKRkDfp,6,Diff,1
R_2dsf9d9zlzEbaRw,6,Diff,1
R_3j0ZzVXSe6NB0v0,6,Diff,1
R_2SqwKT4bUhZVaYX,6,Diff,1
R_6yuZ6GaDGqciNE1,5,Diff,1
R_22DGKB9Dz59SJIt,6,Diff,1
R_5iDE07CUBSNZdqF,6,Diff,1
R_2w61flKU0TAtmrX,6,Diff,1
R_2Y4gtCNHITcznSw,6,Diff,1
R_2qDHMLvHLCvMWMS,6,Diff,1
R_bg7cQUV93CWU245,6,Diff,1
R_2OTJk9jZohSfhSm,6,Diff,1
R_pGZjTA8wFerMwcV,6,Diff,1
R_ypTZBjEyvsMpFG9,6,Diff,1
R_2YkUceTXXRwe7af,5,Diff,1
R_3D2u0Wq74kM9j2C,6,Diff,1
R_2Pv6m5XVNiv6pPQ,6,Diff,1
R_T1l2TIrq1do7Orn,2,Diff,1
R_9KphKBeCPmqzBCl,5,Diff,1
R_3qKjZplc0t8Y2IU,4,Diff,1
R_4GA7uQFTqbGKnlf,6,Diff,1
R_1hEVfCsYXJCzsVp,4,Diff,1
R_cHiCbzLrQrYeizP,6,Diff,1
R_3fQa4YiudlrrSLd,6,Diff,1
R_z0gtYvawsJg834J,6,Diff,1
R_2SvKoXHDxtivA4o,5,Diff,1
R_CeG821dsnmsmiZP,6,Diff,1
R_3MG93Py9LV1lYqI,6,Diff,1
R_UrtVng9RxUYqodr,6,Diff,1
R_yjxZCpumE2JuLwR,6,Diff,1
R_eOEX0Ye1lmhGlyl,6,Diff,1
R_cCLhtJmTS5XidYl,6,Diff,1
R_vZ75WKEQFz64rIt,6,Diff,1
R_1Nzi2lWnM0CO3kn,5,Diff,1
R_2tu71tqKKoKbfJ0,5,Diff,1
R_2PdQi8meHWRd7Fb,6,Diff,1
R_3PaHNs19NCzMVbu,6,Diff,1
R_CjK7Ok90OSXQ3XH,6,Diff,1
R_1lgEwIKXFHGT01V,6,Diff,1
R_2qq1JLwmdrdJM9d,6,Diff,1
R_ZrTEV9TpypUZEC5,6,Diff,1
R_3Gq55dSXHC6ANc8,6,Diff,1
R_3D8b4ozl4q217Ie,5,Diff,1
R_qV03fIB34drHELn,6,Diff,1
R_1mRh44rpwMf0PbH,6,Diff,1
R_3gNkgaxQ9C21dQW,6,Diff,1
R_21umvRGJCCZXoit,6,Diff,1
R_BKctGx9a1Hi7w4h,5,Diff,2
R_u2ffULg0uVmoetj,5,Diff,2
R_2vf9l3GOwanVBOH,6,Diff,2
R_OqjAwL4brYESqul,5,Diff,2
R_1LG8FwYsk4Xgq61,6,Diff,2
R_2wQZuV97sKRkDfp,5,Diff,2
