subj_id,RT,sentID,measure
R_BKctGx9a1Hi7w4h,0.831,1,Timing_1
R_u2ffULg0uVmoetj,1.748,1,Timing_1
R_2vf9l3GOwanVBOH,0.579,1,Timing_1
R_OqjAwL4brYESqul,2.621,1,Timing_1
R_1LG8FwYsk4Xgq61,2.426,1,Timing_1
R_2wQZuV97sKRkDfp,1.304,1,Timing_1
R_2dsf9d9zlzEbaRw,2.667,1,Timing_1
R_3j0ZzVXSe6NB0v0,7.497,1,Timing_1
R_2SqwKT4bUhZVaYX,5.273,1,Timing_1
R_6yuZ6GaDGqciNE1,4.824,1,Timing_1
R_22DGKB9Dz59SJIt,3.016,1,Timing_1
R_5iDE07CUBSNZdqF,4.113,1,Timing_1
R_2w61flKU0TAtmrX,13.086,1,Timing_1
R_2Y4gtCNHITcznSw,2.074,1,Timing_1
R_2qDHMLvHLCvMWMS,23.905,1,Timing_1
R_bg7cQUV93CWU245,18.955,1,Timing_1
R_2OTJk9jZohSfhSm,1.87,1,Timing_1
R_pGZjTA8wFerMwcV,4.214,1,Timing_1
R_ypTZBjEyvsMpFG9,2.176,1,Timing_1
R_2YkUceTXXRwe7af,1.921,1,Timing_1
R_3D2u0Wq74kM9j2C,2.139,1,Timing_1
R_2Pv6m5XVNiv6pPQ,23.238,1,Timing_1
R_T1l2TIrq1do7Orn,6.828,1,Timing_1
R_9KphKBeCPmqzBCl,2.862,1,Timing_1
R_3qKjZplc0t8Y2IU,1.505,1,Timing_1
R_4GA7uQFTqbGKnlf,0.988,1,Timing_1
R_1hEVfCsYXJCzsVp,1.054,1,Timing_1
R_cHiCbzLrQrYeizP,4.284,1,Timing_1
R_3fQa4YiudlrrSLd,1.511,1,Timing_1
R_z0gtYvawsJg834J,4.489,1,Timing_1
R_2SvKoXHDxtivA4o,8.446,1,Timing_1
R_CeG821dsnmsmiZP,2.345,1,Timing_1
R_3MG93Py9LV1lYqI,12.174,1,Timing_1
R_UrtVng9RxUYqodr,3.254,1,Timing_1
R_yjxZCpumE2JuLwR,1.99,1,Timing_1
R_eOEX0Ye1lmhGlyl,2.279,1,Timing_1
R_cCLhtJmTS5XidYl,9.663,1,Timing_1
R_vZ75WKEQFz64rIt,2.509,1,Timing_1
R_1Nzi2lWnM0CO3kn,4.441,1,Timing_1
R_2tu71tqKKoKbfJ0,4.771,1,Timing_1
R_2PdQi8meHWRd7Fb,3.933,1,Timing_1
R_3PaHNs19NCzMVbu,1.699,1,Timing_1
R_CjK7Ok90OSXQ3XH,76.475,1,Timing_1
R_1lgEwIKXFHGT01V,1.033,1,Timing_1
R_2qq1JLwmdrdJM9d,3.119,1,Timing_1
R_ZrTEV9TpypUZEC5,2.538,1,Timing_1
R_3Gq55dSXHC6ANc8,3.836,1,Timing_1
R_3D8b4ozl4q217Ie,2.156,1,Timing_1
R_qV03fIB34drHELn,5.19,1,Timing_1
R_1mRh44rpwMf0PbH,1.474,1,Timing_1
R_3gNkgaxQ9C21dQW,3.828,1,Timing_1
R_21umvRGJCCZXoit,4.763,1,Timing_1
R_BKctGx9a1Hi7w4h,1.118,2,Timing_1
R_u2ffULg0uVmoetj,0.146,2,Timing_1
