subj_id,qual_col,Completion,measure,row,sentID,compNoTrail,compLower,determiner,noun,isDet,isWord
R_vrAH2qrxu41QSv7,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_6Pg4ql6MQumxZo9,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_1QaBlAsk46HI9NJ,Comp(1),de fiets,Comp,1,143,de fiets,de fiets,de,fiets,TRUE,TRUE
R_pKtuHvEeh5mujgl,Comp(1),de auto,Comp,1,143,de auto,de auto,de,auto,TRUE,TRUE
R_RrYmeJDnKB3hv7r,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_2alPe2ZkILnzWYp,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_24zMzQY1U9LX5Gf,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_2zAp7MZjWbJtouD,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_1lgea30X5yRbWgb,Comp(1),Auto,Comp,1,143,Auto,auto,,-99,FALSE,FALSE
R_1dg0dAPlymYfFcu,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_23TSscPxb3G1aSA,Comp(1),trein,Comp,1,143,trein,trein,,-99,FALSE,FALSE
R_3effdDALVVpFhkK,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_2PpvbvcItA8LcqM,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_25WvorTEPc7DuHX,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_ZJCIt5D6m80Wim5,Comp(1),De trein,Comp,1,143,De trein,de trein,De,trein,TRUE,TRUE
R_6gQpeEEoAOw1CNz,Comp(1),de auto,Comp,1,143,de auto,de auto,de,auto,TRUE,TRUE
R_UcJP3naTdDXJEDn,Comp(1),De trein,Comp,1,143,De trein,de trein,De,trein,TRUE,TRUE
R_21pKbw8vqrjpJ4Q,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_1HiWKvIl546M44z,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_BFIiDPrnKiKOhkB,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_232AZeZQOdbRSAK,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_1odMwWpdALe3A7c,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_3CMZ1prTdwstnIi,Comp(1),de trein ,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
R_2SDkvNUYWKzQ9b4,Comp(1),de trein,Comp,1,143,de trein,de trein,de,trein,TRUE,TRUE
