subj_id,Completion,sentID,compNoTrail,compLower,determiner,noun,isDet,isWord,NatNess,Diff,RT
R_vrAH2qrxu41QSv7,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,11.771
R_6Pg4ql6MQumxZo9,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,2.613
R_1QaBlAsk46HI9NJ,de fiets,143,de fiets,de fiets,de,fiets,True,True,5.0,6,6.412
R_pKtuHvEeh5mujgl,de auto,143,de auto,de auto,de,auto,True,True,5.0,6,5.574
R_RrYmeJDnKB3hv7r,de trein,143,de trein,de trein,de,trein,True,True,3.0,6,10.961
R_2alPe2ZkILnzWYp,de trein,143,de trein,de trein,de,trein,True,True,4.0,6,39.432
R_24zMzQY1U9LX5Gf,de trein,143,de trein,de trein,de,trein,True,True,3.0,6,6.684
R_2zAp7MZjWbJtouD,de trein,143,de trein,de trein,de,trein,True,True,1.0,6,12.664
R_1lgea30X5yRbWgb,Auto,143,Auto,auto,,-99,False,False,2.0,6,10.986
R_1dg0dAPlymYfFcu,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,1.819
R_23TSscPxb3G1aSA,trein,143,trein,trein,,-99,False,False,5.0,6,4.927
R_3effdDALVVpFhkK,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,15.139
R_2PpvbvcItA8LcqM,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,6.715
R_25WvorTEPc7DuHX,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,11.137
R_ZJCIt5D6m80Wim5,De trein,143,De trein,de trein,De,trein,True,True,1.0,6,8.289
R_6gQpeEEoAOw1CNz,de auto,143,de auto,de auto,de,auto,True,True,4.0,6,3.764
R_UcJP3naTdDXJEDn,De trein,143,De trein,de trein,De,trein,True,True,,5,30.72
R_21pKbw8vqrjpJ4Q,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,8.656
R_1HiWKvIl546M44z,de trein,143,de trein,de trein,de,trein,True,True,4.0,6,4.758
R_BFIiDPrnKiKOhkB,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,3.597
R_232AZeZQOdbRSAK,de trein,143,de trein,de trein,de,trein,True,True,5.0,5,8.406
R_1odMwWpdALe3A7c,de trein,143,de trein,de trein,de,trein,True,True,3.0,5,4.378
R_3CMZ1prTdwstnIi,de trein ,143,de trein,de trein,de,trein,True,True,5.0,6,2.643
R_2SDkvNUYWKzQ9b4,de trein,143,de trein,de trein,de,trein,True,True,5.0,5,3.096
R_2qwqWlqovi1EnxK,de trein,143,de trein,de trein,de,trein,True,True,4.0,6,7.464
R_1nSW9rReHHlwpSQ,De trein,143,De trein,de trein,De,trein,True,True,5.0,6,4.75
R_3FPt6NNv7fs4bHV,de trein,143,de trein,de trein,de,trein,True,True,3.0,6,5.221
R_2uOs8d5Okoyss7z,de trein,143,de trein,de trein,de,trein,True,True,4.0,3,7.177
R_1JEdl2aEMuUO63f,de auto,143,de auto,de auto,de,auto,True,True,5.0,6,4.702
R_6L3ln2BoQAzJw2d,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,3.149
R_xAA7goWcKMvmb1D,de trein,143,de trein,de trein,de,trein,True,True,4.0,6,118.505
R_248iCMeSwyLS8sF,de trein,143,de trein,de trein,de,trein,True,True,4.0,4,11.768
R_OING4tGkg3q8VLb,de veerboot,143,de veerboot,de veerboot,de,veerboot,True,True,3.0,4,18.056
R_3kvbwPackXPANmo,de trein,143,de trein,de trein,de,trein,True,True,4.0,6,2.289
R_3lRiG6M8Z6vKWZh,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,7.256
R_3q9cZ9NJjEx872v,de trein,143,de trein,de trein,de,trein,True,True,2.0,6,6.028
R_ABt8n7PxUqkXqy5,De bus,143,De bus,de bus,De,bus,True,True,3.0,4,5.965
R_3k6rPDoCD4kup7x,de trein,143,de trein,de trein,de,trein,True,True,5.0,6,5.975
R_p6iBXJstulO97Jn,De trein,143,De trein,de trein,De,trein,True,True,5.0,6,7.414
R_USFewLQTXHp0kPT,de trein,143,de trein,de trein,de,trein,True,True,4.0,6,0.792
R_vrAH2qrxu41QSv7,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,6.789
R_6Pg4ql6MQumxZo9,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,2.176
R_1QaBlAsk46HI9NJ,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,5.882
R_pKtuHvEeh5mujgl,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,9.208
R_RrYmeJDnKB3hv7r,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,4.784
R_2alPe2ZkILnzWYp,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,5.769
R_24zMzQY1U9LX5Gf,het strand,144,het strand,het strand,het,strand,True,True,4.0,5,21.334
R_2zAp7MZjWbJtouD,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,7.877
R_1lgea30X5yRbWgb,Strand,144,Strand,strand,,-99,False,False,1.0,6,12.016
R_1dg0dAPlymYfFcu,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,2.696
R_23TSscPxb3G1aSA,strand,144,strand,strand,,-99,False,False,5.0,6,6.185
R_3effdDALVVpFhkK,het strand ,144,het strand,het strand,het,strand,True,True,5.0,6,19.311
R_2PpvbvcItA8LcqM,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,7.954
R_25WvorTEPc7DuHX,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,11.635
R_ZJCIt5D6m80Wim5,Het strand,144,Het strand,het strand,Het,strand,True,True,1.0,6,6.955
R_6gQpeEEoAOw1CNz,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,2.981
R_UcJP3naTdDXJEDn,Het strand,144,Het strand,het strand,Het,strand,True,True,5.0,6,22.826
R_21pKbw8vqrjpJ4Q,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,10.312
R_1HiWKvIl546M44z,het strand,144,het strand,het strand,het,strand,True,True,3.0,6,5.614
R_BFIiDPrnKiKOhkB,het strand,144,het strand,het strand,het,strand,True,True,4.0,6,5.04
R_232AZeZQOdbRSAK,het strand,144,het strand,het strand,het,strand,True,True,4.0,6,15.454
R_1odMwWpdALe3A7c,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,3.721
R_3CMZ1prTdwstnIi,het strand ,144,het strand,het strand,het,strand,True,True,5.0,6,2.432
R_2SDkvNUYWKzQ9b4,het strand,144,het strand,het strand,het,strand,True,True,4.0,6,3.891
R_2qwqWlqovi1EnxK,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,5.09
R_1nSW9rReHHlwpSQ,Het strand ,144,Het strand,het strand,Het,strand,True,True,5.0,6,9.491
R_3FPt6NNv7fs4bHV,het strand,144,het strand,het strand,het,strand,True,True,4.0,5,12.77
R_2uOs8d5Okoyss7z,het strand,144,het strand,het strand,het,strand,True,True,2.0,5,6.293
R_1JEdl2aEMuUO63f,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,21.966
R_6L3ln2BoQAzJw2d,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,2.98
R_xAA7goWcKMvmb1D,het strand,144,het strand,het strand,het,strand,True,True,4.0,6,8.11
R_248iCMeSwyLS8sF,het strand,144,het strand,het strand,het,strand,True,True,3.0,5,10.32
R_OING4tGkg3q8VLb,het vliegveld,144,het vliegveld,het vliegveld,het,vliegveld,True,True,4.0,5,23.413
R_3kvbwPackXPANmo,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,3.361
R_3lRiG6M8Z6vKWZh,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,5.668
R_3q9cZ9NJjEx872v,het strand,144,het strand,het strand,het,strand,True,True,3.0,6,3.168
R_ABt8n7PxUqkXqy5,Het strand,144,Het strand,het strand,Het,strand,True,True,5.0,6,4.611
R_3k6rPDoCD4kup7x,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,5.331
R_p6iBXJstulO97Jn,Het strand,144,Het strand,het strand,Het,strand,True,True,5.0,6,5.184
R_USFewLQTXHp0kPT,het strand,144,het strand,het strand,het,strand,True,True,5.0,6,0.559
R_vrAH2qrxu41QSv7,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,15.445
R_6Pg4ql6MQumxZo9,de lift,145,de lift,de lift,de,lift,True,True,4.0,5,4.217
R_1QaBlAsk46HI9NJ,de lift,145,de lift,de lift,de,lift,True,True,1.0,6,48.727
R_pKtuHvEeh5mujgl,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,2.352
R_RrYmeJDnKB3hv7r,de lift ,145,de lift,de lift,de,lift,True,True,5.0,6,3.018
R_2alPe2ZkILnzWYp,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,4.579
R_24zMzQY1U9LX5Gf,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,1.504
R_2zAp7MZjWbJtouD,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,7.935
R_1lgea30X5yRbWgb,Lift,145,Lift,lift,,-99,False,False,5.0,6,5.203
R_1dg0dAPlymYfFcu,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,3.728
R_23TSscPxb3G1aSA,lift,145,lift,lift,,-99,False,False,5.0,6,4.06
R_3effdDALVVpFhkK,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,7.686
R_2PpvbvcItA8LcqM,de lift,145,de lift,de lift,de,lift,True,True,2.0,4,23.079
R_25WvorTEPc7DuHX,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,8.388
R_ZJCIt5D6m80Wim5,De lift,145,De lift,de lift,De,lift,True,True,3.0,6,9.84
R_6gQpeEEoAOw1CNz,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,5.061
R_UcJP3naTdDXJEDn,De lift,145,De lift,de lift,De,lift,True,True,5.0,6,3.797
R_21pKbw8vqrjpJ4Q,de lift,145,de lift,de lift,de,lift,True,True,5.0,5,14.398
R_1HiWKvIl546M44z,de lift,145,de lift,de lift,de,lift,True,True,3.0,6,3.744
R_BFIiDPrnKiKOhkB,de lift ,145,de lift,de lift,de,lift,True,True,3.0,6,4.985
R_232AZeZQOdbRSAK,de lift,145,de lift,de lift,de,lift,True,True,5.0,6,4.888
