"sentID","compLower","popularity","nComp","percent","above70"
1,"de koffie",28,52,56,0
2,"een boek",20,51,39.2156862745098,0
3,"de chocolade",21,52,41.1764705882353,0
4,"de fiets",48,50,92.3076923076923,1
5,"de schat",50,52,96.1538461538462,1
6,"het zwembad",52,52,100,1
7,"de thee",48,50,92.3076923076923,1
8,"de oven",50,52,96.1538461538462,1
9,"de cadeautjes",25,52,48.0769230769231,0
10,"het team",31,52,59.6153846153846,0
11,"de post",43,52,82.6923076923077,1
12,"de auto",41,52,78.8461538461538,1
13,"de dokter",39,52,75,1
15,"het gangpad",25,52,48.0769230769231,0
16,"de krant",47,52,90.3846153846154,1
17,"de stoel",52,52,100,1
18,"de stad",27,52,54,0
19,"het raam",33,52,63.4615384615385,0
20,"de afwas",49,52,94.2307692307692,1
21,"de weg",39,52,75,1
22,"het bord",49,52,94.2307692307692,1
23,"het antwoord",40,52,76.9230769230769,1
24,"het strand",37,51,71.1538461538462,1
25,"het bos",45,52,86.5384615384615,1
26,"het kampvuur",33,52,63.4615384615385,0
27,"het schoolplein",21,52,41.1764705882353,0
28,"het ontbijt",48,51,92.3076923076923,1
29,"de kast",28,51,56,0
30,"de sneeuw",52,52,100,1
31,"de brievenbus",36,51,72,1
32,"het licht",47,52,90.3846153846154,1
33,"het journaal",27,52,54,0
34,"de wekker",51,52,98.0769230769231,1
35,"het internet",25,47,48.0769230769231,0
36,"de supermarkt",38,52,73.0769230769231,1
37,"het lichaam",21,48,41.1764705882353,0
38,"het publiek",45,48,86.5384615384615,1
39,"de bioscoop",43,49,82.6923076923077,1
40,"de tuin",48,49,92.3076923076923,1
41,"de badmeester",34,49,68,0
42,"de politie",49,49,94.2307692307692,1
43,"de taart",47,49,90.3846153846154,1
44,"de kluis",45,49,86.5384615384615,1
45,"het stopcontact",44,48,84.6153846153846,1
46,"de gordijnen",40,49,76.9230769230769,1
47,"de bibliotheek",43,48,82.6923076923077,1
48,"de trommel",22,47,43.1372549019608,0
