´_èV1,V2,V3,V4,V5,V6,V7,V8,V9,V10,preorder,listNb,Instr,Timing_1(1),Timing_2(1),Timing_3(1),Timing_4(1),Timing_1(2),Timing_2(2),Timing_3(2),Timing_4(2),Timing_1(3),Timing_2(3),Timing_3(3),Timing_4(3),Timing_1(4),Timing_2(4),Timing_3(4),Timing_4(4),Timing_1(5),Timing_2(5),Timing_3(5),Timing_4(5),Timing_1(6),Timing_2(6),Timing_3(6),Timing_4(6),Timing_1(7),Timing_2(7),Timing_3(7),Timing_4(7),Timing_1(8),Timing_2(8),Timing_3(8),Timing_4(8),Timing_1(9),Timing_2(9),Timing_3(9),Timing_4(9),Timing_1(10),Timing_2(10),Timing_3(10),Timing_4(10),Timing_1(11),Timing_2(11),Timing_3(11),Timing_4(11),Timing_1(12),Timing_2(12),Timing_3(12),Timing_4(12),Timing_1(13),Timing_2(13),Timing_3(13),Timing_4(13),Timing_1(14),Timing_2(14),Timing_3(14),Timing_4(14),Timing_1(15),Timing_2(15),Timing_3(15),Timing_4(15),Timing_1(16),Timing_2(16),Timing_3(16),Timing_4(16),Timing_1(17),Timing_2(17),Timing_3(17),Timing_4(17),Timing_1(18),Timing_2(18),Timing_3(18),Timing_4(18),Timing_1(19),Timing_2(19),Timing_3(19),Timing_4(19),Sentence(1),Sentence(2),Sentence(3),Sentence(4),Sentence(5),Sentence(6),Sentence(7),Sentence(8),Sentence(9),Sentence(10),Sentence(11),Sentence(12),Sentence(13),Sentence(14),Sentence(15),Sentence(16),Sentence(17),Sentence(18),Sentence(19),Comp(1),Comp(2),Comp(3),Comp(4),Comp(5),Comp(6),Comp(7),Comp(8),Comp(9),Comp(10),Comp(11),Comp(12),Comp(13),Comp(14),Comp(15),Comp(16),Comp(17),Comp(18),Comp(19),Natural(1),Natural(2),Natural(3),Natural(4),Natural(5),Natural(6),Natural(7),Natural(8),Natural(9),Natural(10),Natural(11),Natural(12),Natural(13),Natural(14),Natural(15),Natural(16),Natural(17),Natural(18),Natural(19),Diff(1),Diff(2),Diff(3),Diff(4),Diff(5),Diff(6),Diff(7),Diff(8),Diff(9),Diff(10),Diff(11),Diff(12),Diff(13),Diff(14),Diff(15),Diff(16),Diff(17),Diff(18),Diff(19),AdditCom(1),AdditCom(2),AdditCom(3),AdditCom(4),AdditCom(5),AdditCom(6),AdditCom(7),AdditCom(8),AdditCom(9),AdditCom(10),AdditCom(11),AdditCom(12),AdditCom(13),AdditCom(14),AdditCom(15),AdditCom(16),AdditCom(17),AdditCom(18),AdditCom(19),LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,preorder,listNb,Welkom bij ons onderzoek! In dit korte onderzoek krijg je 19 zinnen te zien. Deze zinnen bevatten...,Timing (1)-First Click,Timing (1)-Last Click,Timing (1)-Page Submit,Timing (1)-Click Count,Timing (2)-First Click,Timing (2)-Last Click,Timing (2)-Page Submit,Timing (2)-Click Count,Timing (3)-First Click,Timing (3)-Last Click,Timing (3)-Page Submit,Timing (3)-Click Count,Timing (4)-First Click,Timing (4)-Last Click,Timing (4)-Page Submit,Timing (4)-Click Count,Timing (5)-First Click,Timing (5)-Last Click,Timing (5)-Page Submit,Timing (5)-Click Count,Timing (6)-First Click,Timing (6)-Last Click,Timing (6)-Page Submit,Timing (6)-Click Count,Timing (7)-First Click,Timing (7)-Last Click,Timing (7)-Page Submit,Timing (7)-Click Count,Timing (8)-First Click,Timing (8)-Last Click,Timing (8)-Page Submit,Timing (8)-Click Count,Timing (9)-First Click,Timing (9)-Last Click,Timing (9)-Page Submit,Timing (9)-Click Count,Timing (10)-First Click,Timing (10)-Last Click,Timing (10)-Page Submit,Timing (10)-Click Count,Timing (11)-First Click,Timing (11)-Last Click,Timing (11)-Page Submit,Timing (11)-Click Count,Timing (12)-First Click,Timing (12)-Last Click,Timing (12)-Page Submit,Timing (12)-Click Count,Timing (13)-First Click,Timing (13)-Last Click,Timing (13)-Page Submit,Timing (13)-Click Count,Timing (14)-First Click,Timing (14)-Last Click,Timing (14)-Page Submit,Timing (14)-Click Count,Timing (15)-First Click,Timing (15)-Last Click,Timing (15)-Page Submit,Timing (15)-Click Count,Timing (16)-First Click,Timing (16)-Last Click,Timing (16)-Page Submit,Timing (16)-Click Count,Timing (17)-First Click,Timing (17)-Last Click,Timing (17)-Page Submit,Timing (17)-Click Count,Timing (18)-First Click,Timing (18)-Last Click,Timing (18)-Page Submit,Timing (18)-Click Count,Timing (19)-First Click,Timing (19)-Last Click,Timing (19)-Page Submit,Timing (19)-Click Count,Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (1),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (2),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (3),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (4),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (5),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (6),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (7),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (8),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (9),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (10),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (11),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (12),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (13),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (14),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (15),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (16),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (17),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (18),Sentence #Î_${lm://CurrentLoopNumber} Î_ ${lm://Field/2} ${lm://Field/4}Î_${lm://Field/5} (19),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (1),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (2),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (3),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (4),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (5),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (6),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (7),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (8),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (9),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (10),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (11),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (12),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (13),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (14),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (15),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (16),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (17),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (18),Vul in de onderstaande zinnen de open plek in. Gebruik geen hoofdletters en geef niet meer dan ’©’©... (19),Hoe natuurlijk vond je deze zin klinken? (1),Hoe natuurlijk vond je deze zin klinken? (2),Hoe natuurlijk vond je deze zin klinken? (3),Hoe natuurlijk vond je deze zin klinken? (4),Hoe natuurlijk vond je deze zin klinken? (5),Hoe natuurlijk vond je deze zin klinken? (6),Hoe natuurlijk vond je deze zin klinken? (7),Hoe natuurlijk vond je deze zin klinken? (8),Hoe natuurlijk vond je deze zin klinken? (9),Hoe natuurlijk vond je deze zin klinken? (10),Hoe natuurlijk vond je deze zin klinken? (11),Hoe natuurlijk vond je deze zin klinken? (12),Hoe natuurlijk vond je deze zin klinken? (13),Hoe natuurlijk vond je deze zin klinken? (14),Hoe natuurlijk vond je deze zin klinken? (15),Hoe natuurlijk vond je deze zin klinken? (16),Hoe natuurlijk vond je deze zin klinken? (17),Hoe natuurlijk vond je deze zin klinken? (18),Hoe natuurlijk vond je deze zin klinken? (19),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (1),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (2),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (3),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (4),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (5),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (6),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (7),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (8),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (9),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (10),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (11),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (12),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (13),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (14),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (15),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (16),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (17),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (18),Hoe moeilijk vond je het om het ontbrekende stuk in te vullen / duurde het lang voordat het in je... (19),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (1),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (2),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (3),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (4),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (5),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (6),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (7),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (8),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (9),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (10),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (11),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (12),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (13),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (14),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (15),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (16),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (17),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (18),Wil je nog iets anders toevoegen waarvan je denkt dat het nuttig voor ons zou kunnen zijn? Laat h... (19),LocationLatitude,LocationLongitude,LocationAccuracy
R_vrAH2qrxu41QSv7,Default Response Set,Anonymous,,,84.241.214.178,0,01/02/16 20:07,01/02/16 20:16,1,|155|151|148|157|147|154|160|152|153|149|145|159|146|150|144|158|161|156|143,1,Ja,11.771,19.466,20.794,3,6.789,15.224,18.686,3,15.445,22.974,24.442,3,7.361,16.149,17.397,3,11.047,20.577,21.66,4,6.595,18.513,19.32,4,7.373,26.07,27.194,3,3.954,14.36,16.367,3,15.525,38.525,45.921,5,3.826,13.471,14.807,3,4.394,14.606,15.876,3,8.101,25.398,26.205,3,0.614,66.233,70.543,4,5.5,16.463,17.556,3,5.315,15.234,16.643,3,4.587,11.92,13.109,3,44.656,53.19,54.224,3,9.369,16.628,17.297,3,3.68,14.116,14.774,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift,de auto,de politie,de bank,het platteland,de koelkast,de vorken,de dierenartd,de gevangenis,de economie,De schoorsteen,het geld,de film,de radio,de balkon,het land,de krant,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,52.36659241,4.902694702,-1
R_6Pg4ql6MQumxZo9,Default Response Set,Anonymous,,,94.210.159.190,0,01/02/16 20:13,01/02/16 20:19,1,|143|153|156|160|146|158|148|159|147|151|149|161|155|145|157|154|152|144|150,1,ja,2.613,16.952,18.785,3,2.176,7.199,8.05,4,4.217,11.138,12.226,3,2.408,7.759,8.762,3,2.934,7.461,7.8,4,1.602,9.649,23.857,7,1.365,21.722,22.492,4,2.754,7.649,8.527,3,1.446,10.381,11.298,4,6.717,16.892,17.478,4,2.308,15.161,16.211,3,1.565,10.193,11.182,9,2.164,23.469,53.607,16,3.79,16.191,17.171,3,2.118,22.419,23.529,9,2.078,10.913,12.114,3,1.834,14.045,14.911,3,1.507,18.273,18.595,5,6.222,11.377,12.928,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift,de auto,de politie,de bank,het platteland,de koelkast,het bestek,de dokter,een gevangenis,de economie,de schoorsteen,het geld,de film,de radio,het balkon,het land,de krant,5,5,4,5,5,5,4,5,5,5,2,4,5,2,3,5,5,1,5,6,6,5,6,6,6,3,6,6,6,6,6,5,6,5,6,6,5,5,,,,,,haha lol minder dan 1% rente,,,,,,,"ik zou niet om ""Zwarte Piet"", maar om ""Piet"" hebben gevraagd. ",,,,,,,52.15829468,4.493103027,-1
R_1QaBlAsk46HI9NJ,Default Response Set,Anonymous,,,163.158.246.8,0,01/02/16 20:48,01/02/16 21:01,1,|159|150|152|149|144|154|146|157|147|145|158|151|155|156|161|160|143|148|153,1,ja,6.412,14.909,15.294,7,5.882,13.698,15.463,6,48.727,213.264,221.959,17,3.819,11.416,12.375,7,4.58,80.562,81.581,10,6.057,12.355,13.144,5,11.03,27.883,28.792,5,4.309,14.285,15.356,5,9.588,25.541,26.681,7,3.489,13.973,15.458,5,2.79,8.556,9.616,5,4.466,12.452,13.502,6,79.139,99.053,99.964,9,5.729,12.774,13.585,6,5.694,41.118,42.466,7,5.291,13.548,14.359,6,4.976,40.837,41.782,11,6.372,45.083,63.628,10,4.267,22.661,23.633,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de fiets,het strand,de lift,de auto,de politie,de bank,het platteland,de koelkast,het bestek,de dierenarts,de gevangenis,de economie,de schoorsteen,het geld,de bioscoop,de radio,de bank,het land,de krant,5,5,1,5,5,5,3,5,5,5,5,5,4,5,5,5,4,4,5,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,5,6,6,,,"Ik zou eerder zeggen: Neem de trap als er brand uitbreekt, want de lift zal dan buiten gebruik zijn. / Of .. want de lift is DAN buiten gebruik. / ",,,,,,,,,,,,Voor mijn gevoel had het als twee aparte zinnen gegeven moeten worden. ,,,Het klinkt beter in het gehoor te zeggen: / .. zal zich morgen vanuit het zuiden...  /  / De locatie van het woord morgen klinkt raar geplaatst,,51.9322052,4.392700195,-1
R_pKtuHvEeh5mujgl,Default Response Set,Anonymous,,,80.112.160.174,0,01/02/16 21:49,01/02/16 21:55,1,|159|143|146|148|144|155|152|145|149|160|153|147|151|157|156|154|161|158|150,1,ja,5.574,12.079,13.974,3,9.208,27.579,29.237,3,2.352,6.795,8.245,3,3.845,9.874,11.628,3,2.712,9.821,12.157,3,4.577,11.51,13.214,3,5.09,16.212,18.765,3,2.488,8.141,9.818,3,4.888,25.062,26.685,3,2.785,9.464,10.92,3,5.669,12.021,14.324,3,9.056,15.725,17.248,3,5.112,13.81,16.588,3,5.392,11.32,13.92,3,4.328,9.145,11.323,3,3.309,21.889,23.759,3,5.957,21.425,24.782,3,11.038,27.441,29.124,3,3.024,7.647,9.211,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de auto,het strand,de lift,de auto,de politie,de bank,het platteland,de koelkast,het bestek,de dierenarts,de gevangenis,de economie,de schoorsteen,het geld,de film,de radio,het balkon,het land,de krant,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,,,,,,,,,,,,,,,,,,,,52.15829468,4.493103027,-1
R_RrYmeJDnKB3hv7r,Default Response Set,Anonymous,,,84.31.53.22,0,01/02/16 22:02,01/02/16 22:09,1,|161|151|152|143|149|155|153|158|156|154|150|144|157|159|147|148|146|160|145,1,Ja,10.961,21.318,33.298,4,4.784,12.266,13.805,3,3.018,9.774,11.478,3,3.059,9.651,10.832,3,4.454,12.653,14.686,3,3.812,12.528,14.192,3,15.897,25.351,27.022,3,5.746,14.408,16.127,3,10.303,46.495,57.045,5,6.753,18.706,20.119,3,3.034,12.516,14.356,3,6.809,17.949,19.478,3,8.181,16.752,18.123,3,4.02,10.876,12.288,3,7.088,16.378,19.874,4,4.349,12.349,14.22,4,6.689,14.833,16.399,3,3.08,16.613,17.827,3,3.065,25.055,28.464,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift ,de auto,de politie ,de bank,het platteland ,de koelkast ,het bestek,de dierenarts,de gevangenis,de economie ,de schoorsteen,het geld,de film,de radio,het balkon,het land,de krant,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Auto's and vliegtuigen... Moet en zijn,,,,,,,,Borden op tafel gezet ipv gelegd?,,,,,,Heb...,,,,,51.73680115,5.088394165,-1
R_2alPe2ZkILnzWYp,Default Response Set,Anonymous,,,186.71.21.114,0,01/02/16 22:04,01/02/16 22:38,1,|158|149|147|157|160|145|156|159|153|143|152|146|155|148|144|154|151|150|161,1,ja,39.432,44.934,47.63,3,5.769,14.566,15.799,4,4.579,11.951,13.799,3,4.988,13.598,18.791,4,9.528,23.233,25.613,3,4.68,44.74,46.405,5,12.191,33.167,36.366,5,3.839,12.612,15.307,3,7.006,29.787,46.747,5,3.186,22.546,24.457,4,3.732,12.129,13.911,3,9.63,15.878,18.675,3,10.591,27.536,30.511,4,29.242,38.914,41.511,3,7.447,31.875,35.059,3,5.881,75.444,80.78,4,4.894,10.913,13.598,3,27.176,32.555,35.825,3,2.869,7.787,9.836,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift,de auto,de politie,een spaarrekening,het platteland,de koelkast,het bestek,de dierenarts,de gevangenis,de economie,de schoorsteen,het geld,een film,de radio,het balkon,het land,de krant,4,5,5,5,5,5,5,5,1,5,4,5,5,5,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,"de borden op tafel gezet, zou ik zeggen",,,,,,,,,,,-0.216705322,-78.5,-1
R_24zMzQY1U9LX5Gf,Default Response Set,Anonymous,,,77.162.115.14,0,01/02/16 22:30,01/02/16 22:38,1,|150|144|160|155|153|151|156|152|154|148|143|159|149|157|158|146|161|145|147,1,ja,6.684,20.604,32.463,5,21.334,30.099,32.112,4,1.504,6.765,8.067,4,2.913,8.012,8.541,4,2.319,7.252,8.261,3,3.443,10.656,11.662,3,5.15,11.923,12.834,3,3.436,17.452,20.269,3,3.156,11.987,12.857,5,2.624,8.547,9.547,3,3.964,8.647,10.873,3,5.169,10.726,11.882,3,6.565,11.452,12.895,3,4.494,8.326,9.465,3,3.088,6.973,7.893,3,5.155,9.039,9.897,3,3.428,8.788,10.061,4,12.318,20.18,20.684,4,1.525,6.413,7.147,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift,de fiets,de politie,een spaarrekening,het platteland,koelkast,het bestek,de dierenarts,de gevangenis,de ecnonomie,de schoorsteen,het geld,de film,de radio,het balkon,het land,de krant,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,auto's AND vliegtuigen????,,,,,,,,,,,,,,,,,,,51.36999512,6.168106079,-1
R_2zAp7MZjWbJtouD,Default Response Set,Anonymous,,,82.168.146.89,0,01/02/16 22:42,01/02/16 22:54,1,|150|153|151|149|155|161|143|158|144|152|145|146|147|159|148|156|157|154|160,1,Ja,12.664,56.404,58.282,5,7.877,17.838,19.07,4,7.935,19.637,20.878,3,6.101,12.564,13.923,3,11.923,20.664,21.916,4,15.611,24.353,25.8,3,51.061,83.152,85.196,3,10.758,49.191,53.35,4,17.262,36.086,39.055,4,13.062,27.258,28.796,3,6.275,34.299,36.31,3,10.673,36.799,38.128,3,6.142,26.523,27.948,4,13.51,34.611,36.681,3,5.638,14.054,15.335,4,9.29,24.212,25.487,3,9.963,24.42,25.89,4,49.879,60.275,62.741,4,6.831,17.114,18.59,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift,de auto,de politie,de bank ,het land,de koelkast ,het bestek,de dierenarts,de gevangenis,de economie ,de schoorsteen,het geld ,de film,de radio,het balkon,het land,de krant ,1,5,5,5,5,5,3,5,1,4,2,4,5,5,5,5,5,1,5,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,51.97999573,5.911102295,-1
R_1lgea30X5yRbWgb,Default Response Set,Anonymous,,,178.228.4.94,0,01/02/16 22:58,01/02/16 23:07,1,|156|160|144|157|151|161|147|148|159|146|158|145|152|155|153|143|154|149|150,1,Ja,10.986,18.646,19.945,3,12.016,26.699,29.048,3,5.203,12.255,13.907,3,15.032,22.238,24.802,3,19.431,33.277,35.128,3,7.069,20.501,22.312,3,26.046,34.602,36.489,3,5.045,13.787,15.471,3,10.105,18.157,19.845,3,14.112,26.503,28.303,3,4.79,13.986,15.659,3,6.858,18.113,19.841,3,7.105,19.223,20.986,5,7.217,58.707,65.605,3,12.574,21.845,23.804,4,4.465,18.826,21.952,3,10.524,18.262,20.155,3,8.71,28.566,31.232,3,12.247,24.171,26.027,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Auto,Strand,Lift,Auto,Politie,Spaarrekening,Platteland,Koelkast,Bestek,Dierenarts,Gevangenis,Economie ,Schoorsteen,Geld,Film,Radio,Balkon,Land,Bijbel,2,1,5,5,5,5,2,5,4,5,5,5,4,3,5,5,5,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,52.36669922,4.899993896,-1
R_1dg0dAPlymYfFcu,Default Response Set,Anonymous,,,94.210.167.46,0,01/02/16 22:44,01/02/16 23:10,1,|152|154|160|158|159|161|149|145|148|151|146|153|157|144|150|147|155|156|143,1,ja,1.819,81.14,83.082,10,2.696,23.855,24.813,9,3.728,13.801,14.641,6,3.323,10.314,11.086,6,1.819,12.213,13.125,6,3.556,9.349,10.414,5,6.029,462.831,464.708,28,6.504,14.81,15.5,6,3.862,29.18,30.105,7,4.524,165.526,167.799,18,2.804,190.314,192.703,24,3.785,20.251,21.146,7,4.818,25.747,26.622,6,3.085,10.026,11.204,5,3.39,78.772,83.496,16,3.842,11.651,12.721,6,2.918,17.754,18.761,6,6.29,270.579,284.576,26,2.876,13.086,14.088,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,de trein,het strand,de lift,de auto,de politie,de bank,het platteland,de koelkast,het bestek,de dierenarts,de gevangenis,de economie,de schoorsteen,het geld,de film,de radio,het balkon,het land,de krant,5,5,5,5,5,5,2,5,5,4,4,5,5,5,5,5,5,4,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,"*en (niet ""and"")",,,,,,"Het is opgroeien ""op"" een boerderij, niet ""in"" een boerderij. Verder voelt opgroeien ""op boerderijen op het platteland"" als dubbelop, in de realiteit zou ik altijd maar ’©’©n van de twee in 1 zin zeggen ('boerderijen' impliceert immers al het 'platteland' en viceversa). ",,,,"De tijdsbepaling helemaal aan het einde van de zin kan wel, maar zou zelf eerder zeggen ""In Mexico zijn gisteren drie criminelen uit de gevangenis ontsnapt"" of ""Gisteren zijn in Mexico drie criminelen uit de gevangenis ontsnapt"".  ",,,,"*heb (er staat ""het je zin.."")",,,"Ik zou persoonlijk in deze zin eerder ""verspreiden over"" zeggen, ipv ""verspreiden in"", maar dat kan puur subjectief zijn.",,52.15829468,4.493103027,-1
