subj_id,qual_col,Completion,measure,row,sentID
R_1AeLfMZXZ76HTHz,Comp(1),sd,Comp,1,143
R_vrAH2qrxu41QSv7,Comp(1),de trein,Comp,1,143
R_6Pg4ql6MQumxZo9,Comp(1),de trein,Comp,1,143
R_1QaBlAsk46HI9NJ,Comp(1),de fiets,Comp,1,143
R_pKtuHvEeh5mujgl,Comp(1),de auto,Comp,1,143
R_RrYmeJDnKB3hv7r,Comp(1),de trein,Comp,1,143
R_2alPe2ZkILnzWYp,Comp(1),de trein,Comp,1,143
R_24zMzQY1U9LX5Gf,Comp(1),de trein,Comp,1,143
R_2zAp7MZjWbJtouD,Comp(1),de trein,Comp,1,143
R_1lgea30X5yRbWgb,Comp(1),Auto,Comp,1,143
R_1dg0dAPlymYfFcu,Comp(1),de trein,Comp,1,143
R_23TSscPxb3G1aSA,Comp(1),trein,Comp,1,143
R_3effdDALVVpFhkK,Comp(1),de trein,Comp,1,143
R_2PpvbvcItA8LcqM,Comp(1),de trein,Comp,1,143
R_25WvorTEPc7DuHX,Comp(1),de trein,Comp,1,143
R_ZJCIt5D6m80Wim5,Comp(1),De trein,Comp,1,143
R_6gQpeEEoAOw1CNz,Comp(1),de auto,Comp,1,143
R_UcJP3naTdDXJEDn,Comp(1),De trein,Comp,1,143
R_21pKbw8vqrjpJ4Q,Comp(1),de trein,Comp,1,143
R_1HiWKvIl546M44z,Comp(1),de trein,Comp,1,143
R_BFIiDPrnKiKOhkB,Comp(1),de trein,Comp,1,143
R_232AZeZQOdbRSAK,Comp(1),de trein,Comp,1,143
R_1odMwWpdALe3A7c,Comp(1),de trein,Comp,1,143
R_3CMZ1prTdwstnIi,Comp(1),de trein ,Comp,1,143
R_2SDkvNUYWKzQ9b4,Comp(1),de trein,Comp,1,143
R_2qwqWlqovi1EnxK,Comp(1),de trein,Comp,1,143
R_1nSW9rReHHlwpSQ,Comp(1),De trein,Comp,1,143
R_3FPt6NNv7fs4bHV,Comp(1),de trein,Comp,1,143
R_2uOs8d5Okoyss7z,Comp(1),de trein,Comp,1,143
R_1JEdl2aEMuUO63f,Comp(1),de auto,Comp,1,143
R_6L3ln2BoQAzJw2d,Comp(1),de trein,Comp,1,143
R_xAA7goWcKMvmb1D,Comp(1),de trein,Comp,1,143
R_248iCMeSwyLS8sF,Comp(1),de trein,Comp,1,143
R_OING4tGkg3q8VLb,Comp(1),de veerboot,Comp,1,143
R_3kvbwPackXPANmo,Comp(1),de trein,Comp,1,143
R_3lRiG6M8Z6vKWZh,Comp(1),de trein,Comp,1,143
R_3q9cZ9NJjEx872v,Comp(1),de trein,Comp,1,143
R_ABt8n7PxUqkXqy5,Comp(1),De bus,Comp,1,143
R_3k6rPDoCD4kup7x,Comp(1),de trein,Comp,1,143
R_p6iBXJstulO97Jn,Comp(1),De trein,Comp,1,143
R_USFewLQTXHp0kPT,Comp(1),de trein,Comp,1,143
R_1AeLfMZXZ76HTHz,Comp(2),sd,Comp,2,144
R_vrAH2qrxu41QSv7,Comp(2),het strand,Comp,2,144
R_6Pg4ql6MQumxZo9,Comp(2),het strand,Comp,2,144
R_1QaBlAsk46HI9NJ,Comp(2),het strand,Comp,2,144
R_pKtuHvEeh5mujgl,Comp(2),het strand,Comp,2,144
R_RrYmeJDnKB3hv7r,Comp(2),het strand,Comp,2,144
R_2alPe2ZkILnzWYp,Comp(2),het strand,Comp,2,144
R_24zMzQY1U9LX5Gf,Comp(2),het strand,Comp,2,144
R_2zAp7MZjWbJtouD,Comp(2),het strand,Comp,2,144
R_1lgea30X5yRbWgb,Comp(2),Strand,Comp,2,144
R_1dg0dAPlymYfFcu,Comp(2),het strand,Comp,2,144
R_23TSscPxb3G1aSA,Comp(2),strand,Comp,2,144
R_3effdDALVVpFhkK,Comp(2),het strand ,Comp,2,144
R_2PpvbvcItA8LcqM,Comp(2),het strand,Comp,2,144
R_25WvorTEPc7DuHX,Comp(2),het strand,Comp,2,144
R_ZJCIt5D6m80Wim5,Comp(2),Het strand,Comp,2,144
R_6gQpeEEoAOw1CNz,Comp(2),het strand,Comp,2,144
R_UcJP3naTdDXJEDn,Comp(2),Het strand,Comp,2,144
R_21pKbw8vqrjpJ4Q,Comp(2),het strand,Comp,2,144
R_1HiWKvIl546M44z,Comp(2),het strand,Comp,2,144
R_BFIiDPrnKiKOhkB,Comp(2),het strand,Comp,2,144
R_232AZeZQOdbRSAK,Comp(2),het strand,Comp,2,144
R_1odMwWpdALe3A7c,Comp(2),het strand,Comp,2,144
R_3CMZ1prTdwstnIi,Comp(2),het strand ,Comp,2,144
R_2SDkvNUYWKzQ9b4,Comp(2),het strand,Comp,2,144
R_2qwqWlqovi1EnxK,Comp(2),het strand,Comp,2,144
R_1nSW9rReHHlwpSQ,Comp(2),Het strand ,Comp,2,144
