subj_id,qual_col,RT,measure,row,sentID
R_vrAH2qrxu41QSv7,Timing_1(1),11.771,Timing_1,1,143
R_6Pg4ql6MQumxZo9,Timing_1(1),2.613,Timing_1,1,143
R_1QaBlAsk46HI9NJ,Timing_1(1),6.412,Timing_1,1,143
R_pKtuHvEeh5mujgl,Timing_1(1),5.574,Timing_1,1,143
R_RrYmeJDnKB3hv7r,Timing_1(1),10.961,Timing_1,1,143
R_2alPe2ZkILnzWYp,Timing_1(1),39.432,Timing_1,1,143
R_24zMzQY1U9LX5Gf,Timing_1(1),6.684,Timing_1,1,143
R_2zAp7MZjWbJtouD,Timing_1(1),12.664,Timing_1,1,143
R_1lgea30X5yRbWgb,Timing_1(1),10.986,Timing_1,1,143
R_1dg0dAPlymYfFcu,Timing_1(1),1.819,Timing_1,1,143
R_23TSscPxb3G1aSA,Timing_1(1),4.927,Timing_1,1,143
R_3effdDALVVpFhkK,Timing_1(1),15.139,Timing_1,1,143
R_2PpvbvcItA8LcqM,Timing_1(1),6.715,Timing_1,1,143
R_25WvorTEPc7DuHX,Timing_1(1),11.137,Timing_1,1,143
R_ZJCIt5D6m80Wim5,Timing_1(1),8.289,Timing_1,1,143
R_6gQpeEEoAOw1CNz,Timing_1(1),3.764,Timing_1,1,143
R_UcJP3naTdDXJEDn,Timing_1(1),30.72,Timing_1,1,143
R_21pKbw8vqrjpJ4Q,Timing_1(1),8.656,Timing_1,1,143
R_1HiWKvIl546M44z,Timing_1(1),4.758,Timing_1,1,143
R_BFIiDPrnKiKOhkB,Timing_1(1),3.597,Timing_1,1,143
R_232AZeZQOdbRSAK,Timing_1(1),8.406,Timing_1,1,143
R_1odMwWpdALe3A7c,Timing_1(1),4.378,Timing_1,1,143
R_3CMZ1prTdwstnIi,Timing_1(1),2.643,Timing_1,1,143
R_2SDkvNUYWKzQ9b4,Timing_1(1),3.096,Timing_1,1,143
R_2qwqWlqovi1EnxK,Timing_1(1),7.464,Timing_1,1,143
R_1nSW9rReHHlwpSQ,Timing_1(1),4.75,Timing_1,1,143
R_3FPt6NNv7fs4bHV,Timing_1(1),5.221,Timing_1,1,143
R_2uOs8d5Okoyss7z,Timing_1(1),7.177,Timing_1,1,143
R_1JEdl2aEMuUO63f,Timing_1(1),4.702,Timing_1,1,143
R_6L3ln2BoQAzJw2d,Timing_1(1),3.149,Timing_1,1,143
R_xAA7goWcKMvmb1D,Timing_1(1),118.505,Timing_1,1,143
R_248iCMeSwyLS8sF,Timing_1(1),11.768,Timing_1,1,143
R_OING4tGkg3q8VLb,Timing_1(1),18.056,Timing_1,1,143
R_3kvbwPackXPANmo,Timing_1(1),2.289,Timing_1,1,143
R_3lRiG6M8Z6vKWZh,Timing_1(1),7.256,Timing_1,1,143
R_3q9cZ9NJjEx872v,Timing_1(1),6.028,Timing_1,1,143
R_ABt8n7PxUqkXqy5,Timing_1(1),5.965,Timing_1,1,143
R_3k6rPDoCD4kup7x,Timing_1(1),5.975,Timing_1,1,143
R_p6iBXJstulO97Jn,Timing_1(1),7.414,Timing_1,1,143
R_USFewLQTXHp0kPT,Timing_1(1),0.792,Timing_1,1,143
R_vrAH2qrxu41QSv7,Timing_1(2),6.789,Timing_1,2,144
R_6Pg4ql6MQumxZo9,Timing_1(2),2.176,Timing_1,2,144
R_1QaBlAsk46HI9NJ,Timing_1(2),5.882,Timing_1,2,144
R_pKtuHvEeh5mujgl,Timing_1(2),9.208,Timing_1,2,144
R_RrYmeJDnKB3hv7r,Timing_1(2),4.784,Timing_1,2,144
R_2alPe2ZkILnzWYp,Timing_1(2),5.769,Timing_1,2,144
R_24zMzQY1U9LX5Gf,Timing_1(2),21.334,Timing_1,2,144
R_2zAp7MZjWbJtouD,Timing_1(2),7.877,Timing_1,2,144
R_1lgea30X5yRbWgb,Timing_1(2),12.016,Timing_1,2,144
