subj_id,qual_col,Completion,measure,row,sentID
R_BKctGx9a1Hi7w4h,Comp(1),de thee,Comp,1,1
R_u2ffULg0uVmoetj,Comp(1),de koffie,Comp,1,1
R_2vf9l3GOwanVBOH,Comp(1),de thee,Comp,1,1
R_OqjAwL4brYESqul,Comp(1),de thee,Comp,1,1
R_1LG8FwYsk4Xgq61,Comp(1),de koffie,Comp,1,1
R_2wQZuV97sKRkDfp,Comp(1),de koffie,Comp,1,1
R_2dsf9d9zlzEbaRw,Comp(1),de thee,Comp,1,1
R_3j0ZzVXSe6NB0v0,Comp(1),de koffie,Comp,1,1
R_2SqwKT4bUhZVaYX,Comp(1),de koffie,Comp,1,1
R_6yuZ6GaDGqciNE1,Comp(1),de thee,Comp,1,1
R_22DGKB9Dz59SJIt,Comp(1),de koffie,Comp,1,1
R_5iDE07CUBSNZdqF,Comp(1),de koffie,Comp,1,1
R_2w61flKU0TAtmrX,Comp(1),de thee,Comp,1,1
R_2Y4gtCNHITcznSw,Comp(1),de koffie,Comp,1,1
R_2qDHMLvHLCvMWMS,Comp(1),de thee,Comp,1,1
R_bg7cQUV93CWU245,Comp(1),de koffie,Comp,1,1
R_2OTJk9jZohSfhSm,Comp(1),de thee,Comp,1,1
R_pGZjTA8wFerMwcV,Comp(1),de thee,Comp,1,1
R_ypTZBjEyvsMpFG9,Comp(1),de koffie,Comp,1,1
R_2YkUceTXXRwe7af,Comp(1),de koffie,Comp,1,1
R_3D2u0Wq74kM9j2C,Comp(1),de koffie,Comp,1,1
R_2Pv6m5XVNiv6pPQ,Comp(1),de koster,Comp,1,1
R_T1l2TIrq1do7Orn,Comp(1),GI,Comp,1,1
R_9KphKBeCPmqzBCl,Comp(1),de thee,Comp,1,1
R_3qKjZplc0t8Y2IU,Comp(1),de koffie,Comp,1,1
R_4GA7uQFTqbGKnlf,Comp(1),de koffie,Comp,1,1
R_1hEVfCsYXJCzsVp,Comp(1),de koffie,Comp,1,1
R_cHiCbzLrQrYeizP,Comp(1),De koffie,Comp,1,1
R_3fQa4YiudlrrSLd,Comp(1),de thee,Comp,1,1
R_z0gtYvawsJg834J,Comp(1),de thee,Comp,1,1
R_2SvKoXHDxtivA4o,Comp(1),de thee,Comp,1,1
R_CeG821dsnmsmiZP,Comp(1),de thee,Comp,1,1
R_3MG93Py9LV1lYqI,Comp(1),de koffie,Comp,1,1
R_UrtVng9RxUYqodr,Comp(1),de koffie,Comp,1,1
R_BKctGx9a1Hi7w4h,Comp(2),de boeken,Comp,2,2
R_u2ffULg0uVmoetj,Comp(2),een boek,Comp,2,2
R_2vf9l3GOwanVBOH,Comp(2),een boek,Comp,2,2
R_OqjAwL4brYESqul,Comp(2),een boek,Comp,2,2
R_1LG8FwYsk4Xgq61,Comp(2),dat artikel,Comp,2,2
R_2wQZuV97sKRkDfp,Comp(2),de brochure,Comp,2,2
R_2dsf9d9zlzEbaRw,Comp(2),het artikel,Comp,2,2
R_3j0ZzVXSe6NB0v0,Comp(2),een boek,Comp,2,2
R_2SqwKT4bUhZVaYX,Comp(2),Een boek,Comp,2,2
R_6yuZ6GaDGqciNE1,Comp(2),het boek,Comp,2,2
R_22DGKB9Dz59SJIt,Comp(2),een boek,Comp,2,2
R_5iDE07CUBSNZdqF,Comp(2),de avonturen,Comp,2,2
R_2w61flKU0TAtmrX,Comp(2),een boek,Comp,2,2
R_2Y4gtCNHITcznSw,Comp(2),Websites,Comp,2,2
