subj_id,qual_col,Completion,compLower,measure,row,sentID,determiner,noun,isDet,isWord
R_1AeLfMZXZ76HTHz,Comp(1),sd,sd,Comp,1,1.0,,-99,False,False
R_vrAH2qrxu41QSv7,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_6Pg4ql6MQumxZo9,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_1QaBlAsk46HI9NJ,Comp(1),de fiets,de fiets,Comp,1,1.0,de,fiets,True,True
R_pKtuHvEeh5mujgl,Comp(1),de auto,de auto,Comp,1,1.0,de,auto,True,True
R_RrYmeJDnKB3hv7r,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_2alPe2ZkILnzWYp,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_24zMzQY1U9LX5Gf,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_2zAp7MZjWbJtouD,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_1lgea30X5yRbWgb,Comp(1),Auto,auto,Comp,1,1.0,,-99,False,False
R_1dg0dAPlymYfFcu,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_23TSscPxb3G1aSA,Comp(1),trein,trein,Comp,1,1.0,,-99,False,False
R_3effdDALVVpFhkK,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_2PpvbvcItA8LcqM,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_25WvorTEPc7DuHX,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_ZJCIt5D6m80Wim5,Comp(1),De trein,de trein,Comp,1,1.0,De,trein,True,True
R_6gQpeEEoAOw1CNz,Comp(1),de auto,de auto,Comp,1,1.0,de,auto,True,True
R_UcJP3naTdDXJEDn,Comp(1),De trein,de trein,Comp,1,1.0,De,trein,True,True
R_21pKbw8vqrjpJ4Q,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_1HiWKvIl546M44z,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_BFIiDPrnKiKOhkB,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_232AZeZQOdbRSAK,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_1odMwWpdALe3A7c,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_3CMZ1prTdwstnIi,Comp(1),de trein ,de trein ,Comp,1,1.0,,-99,False,False
R_2SDkvNUYWKzQ9b4,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_2qwqWlqovi1EnxK,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_1nSW9rReHHlwpSQ,Comp(1),De trein,de trein,Comp,1,1.0,De,trein,True,True
R_3FPt6NNv7fs4bHV,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_2uOs8d5Okoyss7z,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
R_1JEdl2aEMuUO63f,Comp(1),de auto,de auto,Comp,1,1.0,de,auto,True,True
R_6L3ln2BoQAzJw2d,Comp(1),de trein,de trein,Comp,1,1.0,de,trein,True,True
