subj_id,Completion,compLower,sentID,NatNess,Diff,RT,index,determiner,noun,isDet,isWord,hasComment?,AdditCom,translation,isImportant,sentenceRisk,askForCheck,Unnamed: 13
R_BKctGx9a1Hi7w4h,de thee,de thee,1,4,6,0.831,,de,thee,TRUE,TRUE,0,,,,,,
R_u2ffULg0uVmoetj,de koffie,de koffie,1,5,5,1.748,,de,koffie,TRUE,TRUE,0,,,,,,
R_2vf9l3GOwanVBOH,de thee,de thee,1,5,5,0.579,,de,thee,TRUE,TRUE,0,,,,,,
R_OqjAwL4brYESqul,de thee,de thee,1,5,6,2.621,,de,thee,TRUE,TRUE,0,,,,,,
R_1LG8FwYsk4Xgq61,de koffie,de koffie,1,5,6,2.426,,de,koffie,TRUE,TRUE,0,,,,,,
R_2wQZuV97sKRkDfp,de koffie,de koffie,1,5,6,1.304,,de,koffie,TRUE,TRUE,0,,,,,,
R_2dsf9d9zlzEbaRw,de thee,de thee,1,5,6,2.667,,de,thee,TRUE,TRUE,0,,,,,,
R_3j0ZzVXSe6NB0v0,de koffie,de koffie,1,5,6,7.497,,de,koffie,TRUE,TRUE,0,,,,,,
R_2SqwKT4bUhZVaYX,de koffie,de koffie,1,5,6,5.273,,de,koffie,TRUE,TRUE,0,,,,,,
R_6yuZ6GaDGqciNE1,de thee,de thee,1,4,5,4.824,,de,thee,TRUE,TRUE,0,,,,,,
R_22DGKB9Dz59SJIt,de koffie,de koffie,1,5,6,3.016,,de,koffie,TRUE,TRUE,0,,,,,,
R_5iDE07CUBSNZdqF,de koffie,de koffie,1,5,6,4.113,,de,koffie,TRUE,TRUE,0,,,,,,
R_2w61flKU0TAtmrX,de thee,de thee,1,5,6,13.086,,de,thee,TRUE,TRUE,0,,,,,,
R_2Y4gtCNHITcznSw,de koffie,de koffie,1,5,6,2.074,,de,koffie,TRUE,TRUE,0,,,,,,
R_2qDHMLvHLCvMWMS,de thee,de thee,1,4,6,23.905,,de,thee,TRUE,TRUE,1,ik lust geen koffie,,0,,,
R_bg7cQUV93CWU245,de koffie,de koffie,1,5,6,18.955,,de,koffie,TRUE,TRUE,0,,,,,,
R_2OTJk9jZohSfhSm,de thee,de thee,1,4,6,1.87,,de,thee,TRUE,TRUE,1,andere optie was: de koffie,other option was: the coffee,1,1,,
R_pGZjTA8wFerMwcV,de thee,de thee,1,5,6,4.214,,de,thee,TRUE,TRUE,1,Thee > koffie.,tea > coffrr,1,1,,
R_ypTZBjEyvsMpFG9,de koffie,de koffie,1,5,6,2.176,,de,koffie,TRUE,TRUE,0,,,,,,
R_2YkUceTXXRwe7af,de koffie,de koffie,1,4,5,1.921,,de,koffie,TRUE,TRUE,0,,,,,,
R_3D2u0Wq74kM9j2C,de koffie,de koffie,1,5,6,2.139,,de,koffie,TRUE,TRUE,0,,,,,,
R_2Pv6m5XVNiv6pPQ,de koster,de koster,1,5,6,23.238,,de,koster,TRUE,TRUE,0,,,,,,
R_T1l2TIrq1do7Orn,GI,gi,1,3,2,6.828,1,,-99,FALSE,FALSE,0,,,,,,
R_9KphKBeCPmqzBCl,de thee,de thee,1,4,5,2.862,,de,thee,TRUE,TRUE,0,,,,,,
R_3qKjZplc0t8Y2IU,de koffie,de koffie,1,4,4,1.505,,de,koffie,TRUE,TRUE,1,Ik ben geen koffie enthousiast ik wilde eerst thee invullen maar koffie klonk beter.,,0,,,
R_4GA7uQFTqbGKnlf,de koffie,de koffie,1,5,6,0.988,,de,koffie,TRUE,TRUE,0,,,,,,
R_1hEVfCsYXJCzsVp,de koffie,de koffie,1,3,4,1.054,,de,koffie,TRUE,TRUE,0,,,,,,
R_cHiCbzLrQrYeizP,De koffie,de koffie,1,4,6,4.284,,De,koffie,TRUE,TRUE,0,,,,,,
R_3fQa4YiudlrrSLd,de thee,de thee,1,5,6,1.511,,de,thee,TRUE,TRUE,0,,,,,,
R_z0gtYvawsJg834J,de thee,de thee,1,5,6,4.489,,de,thee,TRUE,TRUE,0,,,,,,
R_2SvKoXHDxtivA4o,de thee,de thee,1,5,5,8.446,,de,thee,TRUE,TRUE,0,,,,,,
R_CeG821dsnmsmiZP,de thee,de thee,1,5,6,2.345,,de,thee,TRUE,TRUE,0,,,,,,
R_3MG93Py9LV1lYqI,de koffie,de koffie,1,5,6,12.174,,de,koffie,TRUE,TRUE,0,,,,,,
R_UrtVng9RxUYqodr,de koffie,de koffie,1,5,6,3.254,,de,koffie,TRUE,TRUE,0,,,,,,
R_yjxZCpumE2JuLwR,de thee,de thee,1,5,6,1.99,,de,thee,TRUE,TRUE,0,,,,,,
R_eOEX0Ye1lmhGlyl,de thee,de thee,1,5,6,2.279,,de,thee,TRUE,TRUE,0,,,,,,
R_cCLhtJmTS5XidYl,de koffie,de koffie,1,5,6,9.663,,de,koffie,TRUE,TRUE,0,,,,,,
R_vZ75WKEQFz64rIt,de koffie,de koffie,1,5,6,2.509,,de,koffie,TRUE,TRUE,0,,,,,,
R_1Nzi2lWnM0CO3kn,de koffie,de koffie,1,5,5,4.441,,de,koffie,TRUE,TRUE,0,,,,,,
R_2tu71tqKKoKbfJ0,de koffie,de koffie,1,4,5,4.771,,de,koffie,TRUE,TRUE,0,,,,,,
R_2PdQi8meHWRd7Fb,de thee,de thee,1,5,6,3.933,,de,thee,TRUE,TRUE,0,,,,,,
R_3PaHNs19NCzMVbu,de thee,de thee,1,5,6,1.699,,de,thee,TRUE,TRUE,0,,,,,,
R_CjK7Ok90OSXQ3XH,de koffie,de koffie,1,5,6,76.475,,de,koffie,TRUE,TRUE,0,,,,,,
R_1lgEwIKXFHGT01V,de thee,de thee,1,4,6,1.033,,de,thee,TRUE,TRUE,0,,,,,,
R_2qq1JLwmdrdJM9d,de koffie,de koffie,1,5,6,3.119,,de,koffie,TRUE,TRUE,0,,,,,,
R_ZrTEV9TpypUZEC5,de koffie,de koffie,1,5,6,2.538,,de,koffie,TRUE,TRUE,0,,,,,,
R_3Gq55dSXHC6ANc8,de koffie,de koffie,1,4,6,3.836,,de,koffie,TRUE,TRUE,0,,,,,,
R_3D8b4ozl4q217Ie,de thee,de thee,1,4,5,2.156,,de,thee,TRUE,TRUE,0,,,,,,
R_qV03fIB34drHELn,de koffie,de koffie,1,5,6,5.19,,de,koffie,TRUE,TRUE,0,,,,,,
R_1mRh44rpwMf0PbH,de koffie,de koffie,1,5,6,1.474,,de,koffie,TRUE,TRUE,0,,,,,,
R_3gNkgaxQ9C21dQW,de thee,de thee,1,5,6,3.828,,de,thee,TRUE,TRUE,0,,,,,,
R_21umvRGJCCZXoit,de thee,de thee,1,5,6,4.763,,de,thee,TRUE,TRUE,0,,,,,,
R_BKctGx9a1Hi7w4h,de boeken,de boeken,2,4,5,1.118,,de,boeken,TRUE,TRUE,0,,,,,,
R_u2ffULg0uVmoetj,een boek,een boek,2,4,5,0.146,,een,boek,FALSE,TRUE,0,,,,,,
R_2vf9l3GOwanVBOH,een boek,een boek,2,5,6,1.118,,een,boek,FALSE,TRUE,0,,,,,,
R_OqjAwL4brYESqul,een boek,een boek,2,5,5,3.854,,een,boek,FALSE,TRUE,0,,,,,,
R_1LG8FwYsk4Xgq61,dat artikel,dat artikel,2,5,6,2.169,,dat,artikel,FALSE,TRUE,0,,,,,,
R_2wQZuV97sKRkDfp,de brochure,de brochure,2,5,5,2.128,,de,brochure,TRUE,TRUE,0,,,,,,
R_2dsf9d9zlzEbaRw,het artikel,het artikel,2,5,6,9,,het,artikel,TRUE,TRUE,0,,,,,,
R_3j0ZzVXSe6NB0v0,een boek,een boek,2,5,6,5.326,,een,boek,FALSE,TRUE,0,,,,,,
R_2SqwKT4bUhZVaYX,Een boek,een boek,2,5,5,8.252,,Een,boek,FALSE,TRUE,0,,,,,,
R_6yuZ6GaDGqciNE1,het boek,het boek,2,5,4,18.038,,het,boek,TRUE,TRUE,0,,,,,,
R_22DGKB9Dz59SJIt,een boek,een boek,2,5,6,3.704,,een,boek,FALSE,TRUE,0,,,,,,
R_5iDE07CUBSNZdqF,de avonturen,de avonturen,2,3,5,12.91,,de,avonturen,TRUE,TRUE,0,,,,,,
R_2w61flKU0TAtmrX,een boek,een boek,2,5,6,12.579,,een,boek,FALSE,TRUE,0,,,,,,
R_2qDHMLvHLCvMWMS,een boek,een boek,2,5,6,57.98,,een,boek,FALSE,TRUE,0,,,,,,
R_bg7cQUV93CWU245,een boek,een boek,2,5,5,11.55,,een,boek,FALSE,TRUE,0,,,,,,
R_2OTJk9jZohSfhSm,een boek,een boek,2,4,6,4.283,,een,boek,FALSE,TRUE,0,,,,,,
R_pGZjTA8wFerMwcV,een boek,een boek,2,4,6,3.398,,een,boek,FALSE,TRUE,0,,,,,,
R_ypTZBjEyvsMpFG9,de brochure,de brochure,2,5,5,2.384,,de,brochure,TRUE,TRUE,0,,,,,,
R_2YkUceTXXRwe7af,het artikel,het artikel,2,3,5,2.218,,het,artikel,TRUE,TRUE,0,,,,,,
R_3D2u0Wq74kM9j2C,het lezen,het lezen,2,3,6,5.474,,het,lezen,TRUE,TRUE,1,gelijk' is geen goede aanduiding,gelijk' isn't a good indication,0,0,0,
