sentID,SentenceContext,sentenceClosure,compLower,unrelOppositeGender,popularity,nComp,percent,above70,comp.det,comp.noun,Lg10WF,natNess,RT,Diff,speaker
4,Veel Nederlanders gaan bij mooi weer naar hun werk op,maar pakken de auto als het regent.,de fiets,het paard,48,50,96,1,de,fiets,2.9786,4.38,13.5676,5.8,Bobby
5,De piraat gebruikte een geheime kaart bij zijn zoektocht naar,op het eiland.,de schat,het pakketje,50,52,96.15384615,1,de,schat,4.0625,4.730769231,6.871192308,5.846153846,Johanneke
6,In de zomer neem ik om af te koelen graag een duik bij de buren in,in hun achtertuin.,het zwembad,de badkuip,52,52,100,1,het,zwembad,3.006,4.326923077,7.045538462,5.673076923,Jurriaan
7,"De fluitketel op het fornuis floot, dus rende mijn moeder snel naar de keuken om het hete water voor",in te schenken.,de thee,het drankje,48,50,96,1,de,thee,3.4103,4.44,9.95086,5.58,Johanneke
8,Vergeet bij het bereiden van de kip niet het voorverwarmen van,zodat je niet hoeft te wachten.,de oven,het fornuis,50,52,96.15384615,1,de,oven,2.6375,4.519230769,16.10557692,5.826923077,Jurriaan
9,Met Kerst kijk ik vaak naar de kerstboom met daaronder,in mooie verpakkingen.,de cadeautjes,het pakje,37,52,71.15384615,1,de,cadeautjes,2.5132,4.288461538,80.46255769,5.634615385,Jurriaan
10,Andr_ is de nieuwe coach van,op zijn volleybalclub.,het team,de groep,39,52,75,1,het,team,3.6989,3.730769231,8.709596154,4.403846154,Bobby
11,"Voor haar verjaardag stuurde ik haar een echte papieren kaart, die ik verzond met",naar haar huis.,de post,het postbedrijf,43,52,82.69230769,1,de,post,3.2092,3.75,15.48623077,5.269230769,Johanneke
12,"Omdat het regende, ging Hans toch maar met","naar zijn werk, want hij wilde niet nat worden.",de auto,het busje,41,52,78.84615385,1,de,auto,4.3017,4.730769231,4.774596154,5.711538462,Jurriaan
13,"Ik voelde me al een paar dagen niet zo lekker, dus mijn moeder stuurde me naar",voor de zekerheid.,de dokter,het ziekenhuis,39,52,75,1,de,dokter,4.0283,4.307692308,7.54125,5.730769231,Bobby
16,Henk begint zijn dag altijd met het lezen van,terwijl hij zijn ontbijt eet.,de krant,het nieuws,47,52,90.38461538,1,de,krant,3.4059,4.788461538,12.57055769,5.769230769,Johanneke
17,Op dates is David een echte heer en schuift hij netjes,van zijn date aan.,de stoel,het stoeltje,52,52,100,1,de,stoel,3.3502,4.634615385,7.677192308,5.730769231,Johanneke
20,"In de keuken staan nog allemaal vieze borden, maar ik doe",morgen wel.,de afwas,het huishouden,49,52,94.23076923,1,de,afwas,2.2253,4.865384615,4.892807692,5.942307692,Bobby
21,Tijdens het autorijden moet je je wel goed concentreren op,voor de veiligheid.,de weg,het verkeer,39,52,75,1,de,weg,4.8115,4.269230769,9.312826923,5.461538462,Victoria
22,De wiskundedocent schreef de moeilijke sommen op,voor zijn leerlingen.,het bord,de antwoordvellen,49,52,94.23076923,1,het,bord,3.0774,4.596153846,4.552711538,5.846153846,Bobby
23,"Nadat de docent de vraag had gesteld, wachtte hij op",van de studenten.,het antwoord,de reactie,40,52,76.92307692,1,het,antwoord,3.7873,4.769230769,35.35521154,5.730769231,Victoria
24,Met zulk mooi weer gaan we altijd met een parasol naar,bij ons in de buurt.,het strand,de rivier,37,51,72.54901961,1,het,strand,3.2448,4.549019608,5.835745098,5.509803922,Johanneke
25,Op zondagochtend zoek ik altijd met mijn hond een grote tak in,om er daarna mee te spelen.,het bos,de straat,45,52,86.53846154,1,het,bos,3.3086,4.673076923,9.344923077,5.75,Johanneke
26,Tijdens het kamp waren de jongens hout aan het verzamelen voor,in het bos.,het kampvuur,de tocht,38,52,73.07692308,1,het,kampvuur,2.0569,4.307692308,9.687365385,5.653846154,Bobby
27,Op de basisschool speelde ik in de pauze altijd buiten op,met mijn klasgenoten.,het schoolplein,de stoep,39,52,75,1,het,schoolplein,1.5911,4.75,5.55875,5.653846154,Jurriaan
28,Al om half acht 's ochtends stond mijn moeder voor de hele familie eieren te bakken voor,op zondag.,het ontbijt,de brunch,48,51,94.11764706,1,het,ontbijt,3.2925,4.294117647,206.4873922,5.235294118,Jurriaan
29,Mijn gelezen boeken staan op de onderste plank in,op mijn kamer.,de kast,het bureau,45,51,88.23529412,1,de,kast,3.1189,4.490196078,54.97107843,5.666666667,Bobby
30,In de winter maken kinderen engelen in,tijdens het buiten spelen.,de sneeuw,het ijs,52,52,100,1,de,sneeuw,3.0269,4.615384615,4.488769231,5.730769231,Bobby
31,Toen we terugkwamen van vakantie lag er een hoop post in,thuis.,de brievenbus,het postvakje,36,51,70.58823529,1,de,brievenbus,2.2718,4.019607843,5.451568627,5.294117647,Bobby
32,Het was nogal donker in de kamer dus ik drukte op het knopje om,aan te doen.,het licht,de lamp,47,52,90.38461538,1,het,licht,3.6564,4.75,19.45875,5.903846154,Johanneke
33,Om acht uur 's avonds zitten mijn ouders altijd voor de televisie. Ze kijken dan naar,zodat ze op de hoogte blijven van wat er speelt.,het journaal,de nieuwsberichten,45,52,86.53846154,1,het,journaal,2.1139,4.557692308,6.849557692,5.769230769,Victoria
34,Vanavond gaan we vroeg naar bed want morgenochtend gaat om zes uur,en dat is vroeg.,de wekker,het alarm,51,52,98.07692308,1,de,wekker,2.1903,4.442307692,11.97386538,5.807692308,Jurriaan
36,"De melk was op, dus dat heb ik nog even snel gehaald in",vlak voor sluitingstijd.,de supermarkt,het winkeltje,38,52,73.07692308,1,de,supermarkt,2.5809,4.403846154,5.889307692,5.769230769,Bobby
38,Na afloop van de voorstelling maakte de toneelgroep een buiging onder luid applaus van,in de zaal.,het publiek,de mensen,45,48,93.75,1,het,publiek,3.2629,5.604166667,4.561020833,5.479166667,Jurriaan
39,De nieuwe film van die acteur draait nu in,in de stad.,de bioscoop,het theater,43,49,87.75510204,1,de,bioscoop,2.6702,5.734693878,3.024326531,5.836734694,Victoria
40,In de zomer zetten wij altijd een groot opblaaszwembad in,om af te koelen.,de tuin,het park,48,49,97.95918367,1,de,tuin,3.2052,5.87755102,3.884102041,5.918367347,Bobby
41,In het zwembad wordt er altijd goed opgelet door,om zo ongelukken te voorkomen.,de badmeester,het personeel,41,49,83.67346939,1,de,badmeester,1.5051,5.530612245,63.02265306,5.510204082,Johanneke
42,"Toen Martijn ontdekte dat zijn portemonnee was gestolen, belde hij snel",om aangifte te doen.,de politie,het politiebureau,49,49,100,1,de,politie,4.1801,5.775510204,3.379836735,5.857142857,Johanneke
43,De laatste gewonnen wedstrijd was voor het voetbalteam de kers op,na een mooi seizoen.,de taart,het ijsje,47,49,95.91836735,1,de,taart,3.1374,5.775510204,14.87538776,5.714285714,Bobby
44,De juwelier bergt de sieraden 's avonds veilig op in,achter de kassa.,de kluis,het doosje,45,49,91.83673469,1,de,kluis,3.1892,5.734693878,5.271816327,5.653061224,Jurriaan
45,"Haar batterij was bijna leeg, dus ze stopte de oplader van haar telefoon in",om deze op te laden.,het stopcontact,de computer,44,48,91.66666667,1,het,stopcontact,1.7559,5.604166667,5.744708333,5.791666667,Johanneke
46,"Arnold wilde niet dat mensen door het raam naar binnen konden kijken, dus deed hij",dicht.,de gordijnen,het luik,40,49,81.63265306,1,de,gordijnen,2.6117,5.755102041,4.912326531,5.714285714,Victoria
47,Alle net uitgebrachte boeken zijn vaak al binnen twee weken te leen bij,in de stad.,de bibliotheek,het uitleenpunt,43,48,89.58333333,1,de,bibliotheek,2.9355,5.770833333,3.703854167,5.791666667,Jurriaan
49,De studenten probeerden met kaas en muizenvallen,te vangen.,de muizen,het knaagdier,36,48,75,1,de,muizen,2.3909,5.583333333,4.9868125,5.708333333,Victoria
50,En ze leefden nog lang en gelukkig' was het einde van,over de prinses en de draak.,het sprookje,de trilogie,36,48,75,1,het,sprookje,2.4281,5.729166667,4.528604167,5.770833333,Bobby
51,"Als ik op vakantie naar een ver land ga, reis ik altijd met",vanaf Schiphol.,het vliegtuig,de auto,41,47,87.23404255,1,het,vliegtuig,3.5947,5.659574468,4.778234043,5.595744681,Jurriaan
53,In de oldtimer met blikjes eraan zat,onderweg naar hun huwelijksfeest.,het bruidspaar,de mensenmassa,34,47,72.34042553,1,het,bruidspaar,1.6232,5.021276596,11.33493617,5.191489362,Johanneke
54,Adriaan haalde zijn nieuwe medicijnen op bij,met een herhaalrecept.,de apotheek,het kruidvat,43,49,87.75510204,1,de,apotheek,2.29,5.714285714,14.89893878,5.816326531,Victoria
57,"Toen Vincent thuis kwam, hing hij zijn jas aan",in de gang.,de kapstok,het haakje,48,49,97.95918367,1,de,kapstok,1.5051,5.93877551,3.123469388,5.836734694,Bobby
58,De poster van mijn lievelingsband hang ik op een mooie plek in mijn kamer aan,", met dubbelzijdig plakband.",de muur,het plafond,47,49,95.91836735,1,de,muur,3.4663,5.183673469,5.791102041,5.653061224,Bobby
59,"Door de opkomst van de computer, kun je tegenwoordig binnen een paar seconden bijna alle informatie vinden op",zonder al teveel moeite.,het internet,de websites,46,47,97.87234043,1,het,internet,2.8768,5.361702128,6.913276596,5.744680851,Johanneke
62,"Om de betekenis van dat woord te achterhalen, zocht ze het op in",uit haar moeders boekenkast.,het woordenboek,de encyclopedie,45,49,91.83673469,1,het,woordenboek,2.2095,5.755102041,29.60387755,5.693877551,Jurriaan
63,Verkeersborden zijn heel belangrijk in,voor ieders veiligheid.,het verkeer,de wijk,45,48,93.75,1,het,verkeer,2.8254,4.770833333,52.65295833,5.166666667,Victoria
64,De secretaresse van de directeur schreef de notulen tijdens,snel op.,de vergadering,het werk,40,48,83.33333333,1,de,vergadering,3.1455,5.645833333,4.641625,5.583333333,Victoria
66,Veel mensen gaan wekelijks gokken in,maar ze verliezen bijna altijd.,het casino,de bar,39,49,79.59183673,1,het,casino,2.8488,5.591836735,3.368918367,5.571428571,Johanneke
67,Tijdens de korte pauze was Aafke nog op het schoolplein toen,al ging.,de bel,het groepje,45,49,91.83673469,1,de,bel,4.1345,5.653061224,4.179183673,5.693877551,Johanneke
