sentID,SentenceContext,sentenceClosure
143,"Auto's and vliegtuigen zijn slecht voor het mileu, dus sommige mensen gaan liever via de Eurotunnel met",naar Engeland.
144,"Er staan lange files voor Zandvoort aan Zee, omdat iedereen lekker wil uitwaaien op",vandaag.
145,"Neem de trap als er brand uitbreekt, want",is buiten gebruik.
146,"Je hebt de bus net gemist, dus ik breng je wel even met",naar het station.
147,"Als je fiets gestolen is, moet je officieel aangifte doen bij",om geld terug te krijgen van de verzekering
148,"Geld sparen in een oude sok is niet meer van deze tijd, je kunt het beter op",zetten.
149,In de Randstad weten veel kinderen minder over de natuur dan mensen die opgroeien in boerderijen op,in het oosten.
150,Je moet een pak verse melk altijd terugzetten in,om te voorkomen dat het bederft.
151,"Ik heb de borden al op tafel gelegd, kun jij uit de bovenste la",pakken en erbij leggen?
152,Mijn hond was ziek dus ik moest ermee naar,vanmorgen.
153,In Mexico zijn drie criminelen ontsnapt uit,gisteren.
154,Als iedereen na de crisis weer meer geld gaat investeren zal het snel beter gaan met,van het land.
155,Volgens de Sinterklaastraditie in Nederland komt Zwarte Piet vanaf het dak door,het huis binnen om cadeautjes te brengen.
156,De overvallers stormden de winkel binnen en gingen direct naar de kassa's om,te stelen.
157,Ik heb 2 vrijkaartjes voor de bioscoop; het je zin om mee te gaan naar,volgende week?
158,Dit is de hit die je het meest hoort op,tegenwoordig.
159,"Ik heb geen tuin, want ik woon in een flat, maar ik kan in de zomer wel altijd lekker op",zitten.
160,De koude lucht uit BelgiÌÇ zal zich vanuit het zuiden gaan verspreiden in de rest van,morgen.
161,Op zondag leest mijn vader altijd uitgebreid,bij het ontbijt.
