sentID,SentenceContext,comp.det,comp.noun,sentenceClosure,compLower,popularity,nComp,percent,above70,,,Lg10WF
4,Veel Nederlanders gaan bij mooi weer naar hun werk op,de,fiets,maar pakken de auto als het regent.,de fiets,48,50,96,1,,,3.7657
5,De piraat gebruikte een geheime kaart bij zijn zoektocht naar,de,schat,op het eiland.,de schat,50,52,96.15384615,1,,,3.8196
6,In de zomer neem ik om af te koelen graag een duik bij de buren in,het,zwembad,in hun achtertuin.,het zwembad,52,52,100,1,,,2.786
7,"De fluitketel op het fornuis floot, dus rende mijn moeder snel naar de keuken om het hete water voor",de,thee,in te schenken.,de thee,48,50,96,1,,,2.9786
8,Vergeet bij het bereiden van de kip niet het voorverwarmen van,de,oven,zodat je niet hoeft te wachten.,de oven,50,52,96.15384615,1,,,4.0625
9,Met Kerst kijk ik vaak naar de kerstboom met daaronder,de,cadeautjes,in mooie verpakkingen.,de cadeautjes,37,52,71.15384615,1,,,3.006
10,Andr_ is de nieuwe coach van,het,team,op zijn volleybalclub.,het team,39,52,75,1,,,3.4103
11,"Voor haar verjaardag stuurde ik haar een echte papieren kaart, die ik verzond met",de,post,naar haar huis.,de post,43,52,82.69230769,1,,,2.6375
12,"Omdat het regende, ging Hans toch maar met",de,auto,"naar zijn werk, want hij wilde niet nat worden.",de auto,41,52,78.84615385,1,,,2.5132
13,"Ik voelde me al een paar dagen niet zo lekker, dus mijn moeder stuurde me naar",de,dokter,voor de zekerheid.,de dokter,39,52,75,1,,,3.6989
16,Henk begint zijn dag altijd met het lezen van,de,krant,terwijl hij zijn ontbijt eet.,de krant,47,52,90.38461538,1,,,3.2092
17,Op dates is David een echte heer en schuift hij netjes,de,stoel,van zijn date aan.,de stoel,52,52,100,1,,,4.3017
20,"In de keuken staan nog allemaal vieze borden, maar ik doe",de,afwas,morgen wel.,de afwas,49,52,94.23076923,1,,,4.0283
21,Tijdens het autorijden moet je je wel goed concentreren op,de,weg,voor de veiligheid.,de weg,39,52,75,1,,,1.9395
22,De wiskundedocent schreef de moeilijke sommen op,het,bord,voor zijn leerlingen.,het bord,49,52,94.23076923,1,,,3.4059
23,"Nadat de docent de vraag had gesteld, wachtte hij op",het,antwoord,van de studenten.,het antwoord,40,52,76.92307692,1,,,3.3502
24,Met zulk mooi weer gaan we altijd met een parasol naar,het,strand,bij ons in de buurt.,het strand,37,51,72.54901961,1,,,4.0763
25,Op zondagochtend zoek ik altijd met mijn hond een grote tak in,het,bos,om er daarna mee te spelen.,het bos,45,52,86.53846154,1,,,3.4912
26,Tijdens het kamp waren de jongens hout aan het verzamelen voor,het,kampvuur,in het bos.,het kampvuur,38,52,73.07692308,1,,,2.2253
27,Op de basisschool speelde ik in de pauze altijd buiten op,het,schoolplein,met mijn klasgenoten.,het schoolplein,39,52,75,1,,,4.8115
28,Al om half acht 's ochtends stond mijn moeder voor de hele familie eieren te bakken voor,het,ontbijt,op zondag.,het ontbijt,48,51,94.11764706,1,,,3.0774
29,Mijn gelezen boeken staan op de onderste plank in,de,kast,op mijn kamer.,de kast,45,51,88.23529412,1,,,3.7873
30,In de winter maken kinderen engelen in,de,sneeuw,tijdens het buiten spelen.,de sneeuw,52,52,100,1,,,3.2448
31,Toen we terugkwamen van vakantie lag er een hoop post in,de,brievenbus,thuis.,de brievenbus,36,51,70.58823529,1,,,3.3086
32,Het was nogal donker in de kamer dus ik drukte op het knopje om,het,licht,aan te doen.,het licht,47,52,90.38461538,1,,,2.0569
33,Om acht uur 's avonds zitten mijn ouders altijd voor de televisie. Ze kijken dan naar,het,journaal,zodat ze op de hoogte blijven van wat er speelt.,het journaal,45,52,86.53846154,1,,,1.5911
34,Vanavond gaan we vroeg naar bed want morgenochtend gaat om zes uur,de,wekker,en dat is vroeg.,de wekker,51,52,98.07692308,1,,,3.2925
36,"De melk was op, dus dat heb ik nog even snel gehaald in",de,supermarkt,vlak voor sluitingstijd.,de supermarkt,38,52,73.07692308,1,,,3.1189
38,Na afloop van de voorstelling maakte de toneelgroep een buiging onder luid applaus van,het,publiek,in de zaal.,het publiek,45,48,93.75,1,,,3.0269
39,De nieuwe film van die acteur draait nu in,de,bioscoop,in de stad.,de bioscoop,43,49,87.75510204,1,,,2.2718
40,In de zomer zetten wij altijd een groot opblaaszwembad in,de,tuin,om af te koelen.,de tuin,48,49,97.95918367,1,,,3.6564
41,In het zwembad wordt er altijd goed opgelet door,de,badmeester,om zo ongelukken te voorkomen.,de badmeester,41,49,83.67346939,1,,,2.1139
42,"Toen Martijn ontdekte dat zijn portemonnee was gestolen, belde hij snel",de,politie,om aangifte te doen.,de politie,49,49,100,1,,,2.1903
43,De laatste gewonnen wedstrijd was voor het voetbalteam de kers op,de,taart,na een mooi seizoen.,de taart,47,49,95.91836735,1,,,2.8768
44,De juwelier bergt de sieraden 's avonds veilig op in,de,kluis,achter de kassa.,de kluis,45,49,91.83673469,1,,,2.5809
45,"Haar batterij was bijna leeg, dus ze stopte de oplader van haar telefoon in",het,stopcontact,om deze op te laden.,het stopcontact,44,48,91.66666667,1,,,3.8098
46,"Arnold wilde niet dat mensen door het raam naar binnen konden kijken, dus deed hij",de,gordijnen,dicht.,de gordijnen,40,49,81.63265306,1,,,3.2629
47,Alle net uitgebrachte boeken zijn vaak al binnen twee weken te leen bij,de,bibliotheek,in de stad.,de bibliotheek,43,48,89.58333333,1,,,2.6702
49,De studenten probeerden met kaas en muizenvallen,de,muizen,te vangen.,de muizen,36,48,75,1,,,3.2052
50,En ze leefden nog lang en gelukkig' was het einde van,het,sprookje,over de prinses en de draak.,het sprookje,36,48,75,1,,,1.5051
51,"Als ik op vakantie naar een ver land ga, reis ik altijd met",het,vliegtuig,vanaf Schiphol.,het vliegtuig,41,47,87.23404255,1,,,4.1801
53,In de oldtimer met blikjes eraan zat,het,bruidspaar,onderweg naar hun huwelijksfeest.,het bruidspaar,34,47,72.34042553,1,,,3.1374
54,Adriaan haalde zijn nieuwe medicijnen op bij,de,apotheek,met een herhaalrecept.,de apotheek,43,49,87.75510204,1,,,3.1892
57,"Toen Vincent thuis kwam, hing hij zijn jas aan",de,kapstok,in de gang.,de kapstok,48,49,97.95918367,1,,,1.7559
58,De poster van mijn lievelingsband hang ik op een mooie plek in mijn kamer aan,de,muur,", met dubbelzijdig plakband.",de muur,47,49,95.91836735,1,,,2.6117
59,"Door de opkomst van de computer, kun je tegenwoordig binnen een paar seconden bijna alle informatie vinden op",het,internet,zonder al teveel moeite.,het internet,46,47,97.87234043,1,,,2.9355
62,"Om de betekenis van dat woord te achterhalen, zocht ze het op in",het,woordenboek,uit haar moeders boekenkast.,het woordenboek,45,49,91.83673469,1,,,1.9138
63,Verkeersborden zijn heel belangrijk in,het,verkeer,voor ieders veiligheid.,het verkeer,45,48,93.75,1,,,2.3909
64,De secretaresse van de directeur schreef de notulen tijdens,de,vergadering,snel op.,de vergadering,40,48,83.33333333,1,,,2.4281
66,Veel mensen gaan wekelijks gokken in,het,casino,maar ze verliezen bijna altijd.,het casino,39,49,79.59183673,1,,,3.5947
67,Tijdens de korte pauze was Aafke nog op het schoolplein toen,de,bel,al ging.,de bel,45,49,91.83673469,1,,,2.9741
68,Na het dagje uit besloten de dames nog een drankje te doen in,het,cafe,op de hoek van de straat.,het cafe,40,49,81.63265306,1,,,1.6232
69,Michael heeft net nieuwe boxen voor zijn televisie gekocht waardoor,het,geluid,nu nog beter klinkt.,het geluid,36,46,78.26086957,1,,,2.29
70,Andrea en Evelien gingen samen fitnessen in,de,sportschool,bij hen in de buurt.,de sportschool,35,49,71.42857143,1,,,2.8476
74,Voor ze de deur uitgaat maakt Nikki zichzelf altijd op voor,de,spiegel,in haar kamer.,de spiegel,49,52,94.23076923,1,,,2.415
75,December is mijn favoriete maand van,het,jaar,vanwege de sneeuw en de gezelligheid.,het jaar,53,53,100,1,,,1.5051
77,Alle ingredi•À_nten voor het gerecht had Lisanne in de keuken op,het,aanrecht,gelegd.,het aanrecht,48,52,92.30769231,1,,,3.4663
79,"Roodkapje liep door het bos naar het huis van haar oma, maar achter de bomen wachtte",de,wolf,op haar.,de wolf,42,45,93.33333333,1,,,2.8768
80,"Toen hij hoorde dat hij zijn examen gehaald had, sprong hij een gat in",de,lucht,van blijdschap.,de lucht,53,53,100,1,,,2.6425
83,"Karel heeft honderd euro aan Frank geleend, dus staat Frank nu bij Karel in",het,krijt,en werkt hij hard om het terug te verdienen.,het krijt,40,53,75.47169811,1,,,3.3979
